# mutant run 2026-09-12T04:11:32+08:00 HEAD 63b02dc0 dirty-files-in-src/tests=0
<baseline> | -k cf3 or trajectory or alone_on_beam or lighting_price_equals or outage_is_never or not_additive or without_u or pool_credit or resume | GREEN (exit 0) | no summary | no failure line
default_credit_difference | -k equal_share_is_bit_identical | RED (exit 1) | no summary | /home/u24/papers/mcrl-leo-handover-b1/tests/test_cf_credit.py:266: AssertionError: assert {'source_kind...: 0.6016, ...} == {'source_kind...: 0.6016, ...}
e_share_over_served | -k equal_share_is_bit_identical | RED (exit 1) | no summary | /home/u24/papers/mcrl-leo-handover-b1/tests/test_cf_credit.py:282: AssertionError: assert [{'episode': ...a': 0.0, ...}] == [{'episode': ...a': 0.0, ...}]
cf_live_rng | -k trajectory_bit_identical | RED (exit 1) | no summary | no failure line
cf_commits_segments | -k trajectory_bit_identical | RED (exit 1) | no summary | no failure line
ed_supply_only | -k alone_on_beam | RED (exit 1) | no summary | no failure line
ed_per_link_power | -k alone_on_beam | RED (exit 1) | no summary | no failure line
lp_no_baseband | -k lighting_price_equals | RED (exit 1) | no summary | /home/u24/papers/mcrl-leo-handover-b1/tests/test_cf_credit.py:428: AssertionError:
lp_tie_as_max | -k lighting_price_equals | RED (exit 1) | no summary | /home/u24/papers/mcrl-leo-handover-b1/tests/test_cf_credit.py:428: AssertionError:
no_outage_charge | -k outage_is_never | RED (exit 1) | no summary | /home/u24/papers/mcrl-leo-handover-b1/tests/test_cf_credit.py:464: AssertionError: ('difference', 0.5, 2)
bd_own_bits | -k not_additive | RED (exit 1) | no summary | no failure line
physics_bandwidth_not_shared | -k without_u | RED (exit 1) | no summary | /home/u24/papers/mcrl-leo-handover-b1/tests/test_cf_credit.py:547: AssertionError:
trainer_ignores_pool_credit | -k pool_credit | RED (exit 1) | no summary | no failure line
resume_requires_flag | -k resume | RED (exit 1) | no summary | no failure line
# done 2026-09-12T04:26:03+08:00
