# mutant run 2026-09-12T01:04:54+08:00 commit-under-test 102b2d4d (+ working tree)
 | -k cf3 or trajectory or alone_on_beam or lighting_price_equals or outage_is_never or not_additive or without_u or pool_credit or resume | .........                                                                [100%]
default_credit_difference | -k equal_share_is_bit_identical | FAILED tests/test_cf_credit.py::test_equal_share_is_bit_identical_to_cf3 - As...
e_share_over_served | -k equal_share_is_bit_identical | FAILED tests/test_cf_credit.py::test_equal_share_is_bit_identical_to_cf3 - As...
cf_live_rng | -k trajectory_bit_identical | FAILED tests/test_cf_credit.py::test_counterfactual_calls_leave_the_trajectory_bit_identical
cf_commits_segments | -k trajectory_bit_identical | FAILED tests/test_cf_credit.py::test_counterfactual_calls_leave_the_trajectory_bit_identical
ed_supply_only | -k alone_on_beam | FAILED tests/test_cf_credit.py::test_difference_energy_alone_on_beam_and_non_max_user
ed_per_link_power | -k alone_on_beam | FAILED tests/test_cf_credit.py::test_difference_energy_alone_on_beam_and_non_max_user
lp_no_baseband | -k lighting_price_equals | FAILED tests/test_cf_credit.py::test_joules_ignore_interference_and_lighting_price_equals_difference
lp_tie_as_max | -k lighting_price_equals | FAILED tests/test_cf_credit.py::test_joules_ignore_interference_and_lighting_price_equals_difference
no_outage_charge | -k outage_is_never | FAILED tests/test_cf_credit.py::test_outage_is_never_preferred_over_the_worst_served_legal_action
bd_own_bits | -k not_additive | FAILED tests/test_cf_credit.py::test_difference_credit_is_not_additive_and_obeys_the_documented_relation
physics_bandwidth_not_shared | -k without_u | FAILED tests/test_cf_credit.py::test_without_u_changes_only_bandwidth_share_and_interference_from_its_beam
trainer_ignores_pool_credit | -k pool_credit | FAILED tests/test_cf_credit.py::test_pool_credit_is_recorded_and_checked_by_the_trainer
resume_requires_flag | -k resume | FAILED tests/test_cf_credit.py::test_pre_b1_resume_state_resumes_an_equal_share_learner_only
# done 2026-09-12T01:19:57+08:00
