Noise PSD N_0 (dBm/Hz),MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
-180.0,212.1771179352402,686.9301665937869,751.9297647509128,390.5824590319672,793.4639723567433
-178.0,194.16534951858387,630.1546556879915,689.7819677329185,358.30040222211505,727.8833287823351
-176.0,176.15358110192756,573.3791447821962,627.6341707149244,326.01834541226293,662.3026852079269
-174.0,158.22559941187274,516.7767908328618,565.6759153357584,293.8347441269197,596.9220529493647
-172.0,140.29761772181791,460.1744368835275,503.7176599565924,261.6511428415766,531.5414206908026
-170.0,122.68248296366737,404.6068307166481,442.89206360810493,230.05589005656665,467.3560119437149
-168.0,105.0673482055168,349.03922454976856,382.0664672596172,198.46063727155672,403.1706031966273
-166.0,88.44557969326566,296.5372508245188,324.5965836061735,168.60847616568682,342.52626603616517
-164.0,71.82381118101456,244.03527709926905,267.1266999527298,138.7563150598169,281.88192887570295
-162.0,57.594601687371345,198.3750127185783,217.14591074895597,112.7942897926895,229.1403599124253
-160.0,43.36539219372812,152.71474833788753,167.16512154518216,86.83226452556208,176.39879094914764
