Per-beam base power P_base (W),MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
0.1,175.499590215101,562.4275962053256,614.7386352859343,318.6259341488739,649.8242698581744
0.2,163.33849196400286,530.6619800228937,580.2782758220491,301.06087958122197,613.0409770932675
0.3,153.11270685974264,502.89160164283027,551.073554849468,286.60860867261755,580.8031288054622
0.4,144.95139984795972,478.1828816327779,524.8052478921566,272.9060284782516,552.0216904557363
0.5,137.41343840367426,456.18451987831105,501.21355801866895,261.8397224973515,526.5331668435911
0.7,121.89189106966892,418.91981502218033,460.5577896865838,240.90907640076594,483.3299415102217
0.9,109.99634410481202,387.56567901309387,426.4236497881593,222.92875025777357,446.99872187582923
1.2,96.86699907167576,348.8576488616157,384.09418800748335,200.51106414173807,402.1620509331899
1.5,87.31792549269689,317.89390147970016,350.0732946785385,182.30720732140801,366.31612573369534
1.75,81.20630355616238,296.51082769264235,325.7515088519515,170.2086461990421,341.6088899495862
2.0,75.838268169653,277.92567451809975,305.7679553436504,159.62530067325216,320.13582912841883
