Number of users |U|,MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
50.0,224.29107873554258,605.4041699764757,672.0725298426972,351.9824704364493,698.0321225265546
60.0,198.61478510580844,584.6706001948264,645.6473819382712,338.6609734049169,674.6478093262511
75.0,185.09367347679662,556.3775419843133,609.455208515862,313.79668984701624,642.0808750391765
90.0,169.4831770826425,536.7697833507647,583.0115756208781,303.20668995260564,620.0246895572783
100.0,158.22559941187274,516.7767908328618,565.6759153357584,293.8347441269197,596.9220529493647
110.0,162.6804737334646,504.3717833218086,550.1392859610878,287.5211778209867,582.8219586786372
125.0,144.80123469580545,487.6938455909232,529.1262297835136,278.1507161368234,563.5042465361851
140.0,146.06446805171572,472.4258292921875,510.9560092162421,268.6339665201329,545.9754380362101
155.0,150.93450185409162,457.89963146610245,494.67025782709567,258.45122798666006,529.2726943168731
170.0,135.8332378748482,445.81486450520134,481.6231948818188,252.31747147548006,515.3734736209756
185.0,131.1061879446355,433.0803166660117,467.82660124408,247.3136532816799,500.50124639130854
200.0,121.51990889784112,424.0333992534732,456.6711046943289,239.40121378853402,490.1971543745015
