Bandwidth (Hz),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
100000000.0,29.67801163791018,32.0081044173229,110.64388871570755,120.46478428671048,114.31068497281792
200000000.0,52.07328877120738,56.678537220795334,194.85102519353092,215.51149685503432,201.317426099415
300000000.0,71.72662059656399,78.56194906491338,269.06354454067787,296.9092968407247,277.9916347095959
400000000.0,89.60491121274703,98.63155341084052,336.8139431440079,380.1947168303922,347.9805420744922
500000000.0,106.1681326059016,117.35148161358072,399.78262947706753,448.27927515100396,413.01985906029046
600000000.0,121.68767450419207,134.99612243685021,458.96063873113076,514.1130661251877,474.1336704144186
700000000.0,136.34318169821796,151.74741404660995,515.0035425630556,577.4870130615932,531.9996859631196
800000000.0,150.2625621860827,167.73509178846814,568.3777247504802,629.3965243662293,587.1002230804505
900000000.0,163.54161944312233,183.05646017753293,619.4321795359707,692.7225691737913,639.7963270871601
1000000000.0,176.25484118657064,197.78726935110274,668.4379753447575,743.9142965440284,690.3685184808577
