Active Beam Capacity (v_max),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
3,106.1681326059016,117.35148161358072,399.78262947706753,413.01985906029046
4,104.46220125384727,118.83022823268587,367.88417480797017,383.49347354330297
5,103.27152748918245,119.54753575426827,338.34788384642394,337.30398745547177
6,95.45426145364677,111.1671114990161,302.05607517576414,296.1451388697921
7,90.78651671227196,105.99607058351711,264.5718922935451,258.9345426094338
8,86.5789223162788,102.26147049403617,236.25972385722878,230.36261633872877
9,78.51351500195433,92.5526087616996,208.34193668034146,197.8747619640379
10,74.3548683135824,87.65639349089068,179.37208746095834,168.09282852187297
11,72.31820076887229,84.74742775880837,159.34303017875087,148.47771584887425
12,70.07796456176031,82.07238325874921,142.81614942128283,130.19808195881086
13,68.24931778949596,80.5944649843624,128.332708187639,113.768385883098
14,67.0856046655813,79.18439876547409,112.93989315986873,100.65406360071991
15,65.72610029153455,77.90070317907045,101.17275299812971,88.53790191099809
