Number of Users (U),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
40,0.0,0.0,0.6751666666666666,0.7831666666666667
60,0.0,0.0,0.5970000000000001,0.7466666666666667
80,0.0,0.0,0.6116666666666667,0.6869999999999999
100,0.0,0.0,0.6331666666666667,0.7285
120,0.0,0.0,0.6243333333333334,0.7158333333333333
140,0.0,0.0,0.6368333333333333,0.7335
160,0.0,0.0,0.6723333333333333,0.755
180,0.0,0.0,0.6573333333333333,0.7573333333333333
200,0.0,0.0,0.687,0.7736666666666666
220,0.0,0.0,0.6785,0.7771666666666666
