Number of Users (U),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
40,3.0436666666666663,3.0,5.933000000000001,5.409,5.896
60,3.0523333333333333,3.0,5.953833333333334,5.5115,5.93
80,3.057,3.0,5.98,5.5325,5.943333333333333
100,3.059,3.0,5.979833333333334,5.623499999999999,5.958333333333333
120,3.06,3.0,5.976,5.7139999999999995,5.95
140,3.0629999999999997,3.0,5.965833333333333,5.807,5.965
160,3.0633333333333335,3.0,5.981333333333334,5.708499999999999,5.974333333333333
180,3.062,3.0,5.988166666666666,5.698499999999999,5.974833333333334
200,3.0653333333333332,3.0,5.976166666666666,5.619000000000001,5.964333333333333
220,3.0669999999999997,3.0,5.9783333333333335,5.5335,5.971333333333334
