Number of Users (U),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
40,162.2226802825443,179.69481263111564,539.8831266216151,565.3009902766688,540.3056408271121
60,140.03422790308758,154.7541073167433,482.56319187834976,498.7520537697601,488.5198209115409
80,122.35716295411191,135.6247536445903,442.4428722728295,463.70935856125595,446.9619023921892
100,105.60053908981811,116.16950932869821,409.70656320554474,431.7511805700386,412.7263576367102
120,107.95788170188477,118.57654626594545,390.7192638650077,404.8002743258952,398.27940872967525
140,94.05011966202716,102.9247140477878,371.3459317778961,374.3049473561748,376.1321014447444
160,89.15824336516057,97.72095916111014,353.3108975343531,368.7452593921672,361.3924860817806
180,84.00677023239517,92.6697064041192,340.23873223077135,354.98929535494744,349.3794115231806
200,82.40780166560704,90.80217757084816,325.6819512074608,345.0771753961359,333.0622951461106
220,80.46484719640405,87.87928117913495,318.61176047315195,331.9741981353634,323.5271295999727
