Number of Users (U),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
40,0.100475,0.1,0.09882916666666666,0.41151250000000006,0.0984625
60,0.10050555555555554,0.1,0.09854722222222222,0.39894166666666664,0.09863888888888889
80,0.10047916666666666,0.1,0.09869791666666666,0.36203125,0.09851041666666667
100,0.10045333333333333,0.1,0.09859333333333332,0.359275,0.09819166666666665
120,0.10047222222222221,0.1,0.09849444444444444,0.3689833333333333,0.0988972222222222
140,0.10046666666666666,0.1,0.09896547619047619,0.38388928571428566,0.09897619047619048
160,0.10049791666666665,0.1,0.09880625,0.344134375,0.09827708333333333
180,0.10052407407407406,0.1,0.09869907407407408,0.3408388888888889,0.09831388888888888
200,0.100475,0.1,0.09850416666666666,0.3266125,0.09841833333333333
220,0.10044393939393939,0.1,0.09871969696969697,0.3191659090909091,0.0982621212121212
