Number of Users (U),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
40,-5.474602789933344e-05,-4.975353722756949e-05,0.0004874986573255812,0.0003847760647981146,0.00048147953000223507
60,-1.1029974793650314e-05,1.0805779677088568e-06,0.0005233026980565847,0.00039887346902944874,0.0005454305287317525
80,-1.511325688717237e-05,-4.923585649209562e-06,0.0005202926458364362,0.0004269204585633786,0.0005321447742448644
100,-1.80953965922571e-05,-1.0644000767090798e-05,0.0004986983628065445,0.0004058717092267582,0.0005061034098906799
120,3.727959705237418e-06,1.5362930297353668e-05,0.00049936743119149,0.00037409046945368387,0.0005172322807901176
140,-1.8248693804745672e-05,-1.062917684902801e-05,0.0004834024614376281,0.0003186150359863489,0.0004908961015242249
160,-1.4312472453261171e-05,-5.178754209712983e-06,0.00046522693101010517,0.00035987854510361557,0.0004825127568314867
180,-1.8508071288480798e-05,-9.489075808482757e-06,0.00045163113700404025,0.0003450746875025465,0.0004736008260253722
200,-7.974907647175789e-06,3.4181338121732722e-06,0.00043670988336449795,0.0003498572961910322,0.00045143862395034833
220,-8.740628031617945e-06,-5.554710991259119e-07,0.00043324235691993856,0.00033998770067597095,0.0004422298171856315
