Base Transmit Power P_base (W),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
0.1,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
0.25,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
0.5,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
0.75,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
1.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
1.25,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
1.5,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
1.75,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
2.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
2.5,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
