Base Transmit Power P_base (W),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
0.1,3.038888888888889,3.0,5.9319444444444445,5.439583333333334,5.986111111111111
0.25,3.038888888888889,3.0,5.9319444444444445,5.479166666666667,5.986111111111111
0.5,3.038888888888889,3.0,5.9319444444444445,5.745833333333334,5.986111111111111
0.75,3.038888888888889,3.0,5.9319444444444445,5.9125000000000005,5.986111111111111
1.0,3.038888888888889,3.0,5.9319444444444445,6.058333333333334,5.986111111111111
1.25,3.038888888888889,3.0,5.9319444444444445,5.904166666666666,5.986111111111111
1.5,3.038888888888889,3.0,5.9319444444444445,5.9375,5.986111111111111
1.75,3.038888888888889,3.0,5.9319444444444445,5.96875,5.986111111111111
2.0,3.038888888888889,3.0,5.9319444444444445,5.96875,5.986111111111111
2.5,3.038888888888889,3.0,5.9319444444444445,6.087500000000001,5.986111111111111
