Base Transmit Power P_base (W),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
0.1,116.04385984438477,128.51093808017507,429.49741475331587,472.14021086255656,443.79030604629577
0.25,106.1681326059016,117.35148161358072,399.78262947706753,448.27927515100396,413.01985906029046
0.5,93.27405200546605,102.81976806551549,359.4177636902171,390.8196778274796,371.2295389020948
0.75,83.41297626659033,91.74099515636073,327.2535694349076,347.3802036486206,337.9363574927076
1.0,75.59945110482528,82.9867237840212,300.91571130854277,306.37113746648333,310.6795955117363
1.25,69.23894870948237,75.877531891506,278.8904677853597,293.2786903995737,287.8906118425485
1.5,63.94987886115772,69.97837830954126,260.15937963997266,271.8591869580513,268.51394336938915
1.75,59.47530744132379,64.99702744547378,244.00845358390168,252.8772121969147,251.80963483622656
2.0,55.63548111947711,60.729480222889784,229.92048481530344,234.71215146531895,237.24168412657502
2.5,49.374598521013795,53.786179182586416,206.48600500990307,209.92905995181013,213.01494537606862
