Per-Beam Power Cap P_max (W),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
2.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
4.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
6.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
8.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
10.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
15.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
20.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
30.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
40.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
50.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
