Per-Beam Power Cap P_max (W),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
2.0,106.1681326059016,117.35148161358072,405.3382078492797,416.9774665012845
4.0,106.1681326059016,117.35148161358072,399.78262947706753,413.01985906029046
6.0,106.1681326059016,117.35148161358072,399.78262947706753,413.01985906029046
8.0,106.1681326059016,117.35148161358072,399.78262947706753,413.01985906029046
10.0,106.1681326059016,117.35148161358072,399.78262947706753,413.01985906029046
15.0,106.1681326059016,117.35148161358072,399.78262947706753,413.01985906029046
20.0,106.1681326059016,117.35148161358072,399.78262947706753,413.01985906029046
30.0,106.1681326059016,117.35148161358072,399.78262947706753,413.01985906029046
40.0,106.1681326059016,117.35148161358072,399.78262947706753,413.01985906029046
50.0,106.1681326059016,117.35148161358072,399.78262947706753,413.01985906029046
