System bandwidth B_sys (MHz),MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
100.0,44.23004403959768,143.02728462636932,156.5609980638175,81.32405774962463,165.2089294284081
200.0,77.60640718582091,251.89145537721197,275.7262557324195,143.22326902343136,290.95649675335085
300.0,106.89636578432628,347.8274027560392,380.73997889065066,197.7716060437533,401.77084383097167
400.0,133.5409264427095,435.39859854362436,476.59745007149286,247.5638187816037,502.923176706661
500.0,158.22559941187274,516.7767908328618,565.6759153357584,293.8347441269197,596.9220529493647
600.0,181.35484506386024,593.2433301876707,649.3779708641752,337.31294675552454,685.2475436898504
700.0,203.19639349786613,665.6461775509424,728.6318144609949,378.48056981142923,768.8791174256021
800.0,223.94086989653928,734.5888158285479,804.0980325751901,417.68074837418294,848.5138492990849
900.0,243.73105309509808,800.5229904707577,876.2711163015888,455.1703409388756,924.673544519761
1000.0,262.67795440568347,863.7996930324265,945.5352691736886,491.14891822064146,997.7636288018042
