Per-beam power cap P_max (W),MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
2.0,158.22559941187274,521.7286100441377,571.0962920140555,296.65030503584325,602.6418339880314
4.0,158.22559941187274,516.7767908328618,565.6759153357584,293.8347441269197,596.9220529493647
6.0,158.22559941187274,516.7767908328618,565.6759153357584,293.8347441269197,596.9220529493647
8.0,158.22559941187274,516.7767908328618,565.6759153357584,293.8347441269197,596.9220529493647
10.0,158.22559941187274,516.7767908328618,565.6759153357584,293.8347441269197,596.9220529493647
15.0,158.22559941187274,516.7767908328618,565.6759153357584,293.8347441269197,596.9220529493647
20.0,158.22559941187274,516.7767908328618,565.6759153357584,293.8347441269197,596.9220529493647
30.0,158.22559941187274,516.7767908328618,565.6759153357584,293.8347441269197,596.9220529493647
40.0,158.22559941187274,516.7767908328618,565.6759153357584,293.8347441269197,596.9220529493647
50.0,158.22559941187274,516.7767908328618,565.6759153357584,293.8347441269197,596.9220529493647
