System bandwidth (MHz),MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
100.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
200.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
300.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
400.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
500.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
600.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
700.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
800.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
900.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
1000.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
