Active-beam capacity limit,MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
3.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
4.0,-0.09863759098008017,-0.10722090552805282,-0.08975998141108756,-0.09270641440260098,-0.08686927292059564
5.0,-0.09897141346947193,-0.10758377681518154,-0.09006375911028604,-0.09302016381325633,-0.08716326749862485
6.0,-0.09919396179573314,-0.10782569100660065,-0.09026627757641836,-0.09322933008702655,-0.08735926388397769
7.0,-0.09940955548679868,-0.10806004537953795,-0.09046246734048406,-0.09343195991474146,-0.08754913538228824
8.0,-0.09957646673149456,-0.10824148102310231,-0.09061435619008329,-0.09358883462006913,-0.08769613267130284
9.0,-0.09964601308345121,-0.10831707920792079,-0.09067764321074963,-0.09365419908062234,-0.08775738154172559
10.0,-0.09973642334099479,-0.1084153568481848,-0.09075991633761589,-0.09373917287934151,-0.08783700507327519
11.0,-0.09988942531529937,-0.10858167285478548,-0.09089914778308188,-0.09388297469255853,-0.08797175258820523
12.0,-0.10000069947842997,-0.10870262995049502,-0.09100040701614803,-0.09398755782944364,-0.08806975078088164
13.0,-0.10008415510077791,-0.10879334777227723,-0.09107635144094767,-0.0940659951821075,-0.08814324942538897
14.0,-0.10016065608793022,-0.10887650577557756,-0.09114596716368066,-0.09413789608871602,-0.088210623182854
15.0,-0.10015370145273457,-0.10886894595709573,-0.09113963846161405,-0.09413135964266071,-0.08820449829581173
