System bandwidth (MHz),MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
100.0,-1.3805160253682631,-1.3738201988621075,-1.6706765896127518,-1.9369798255992439,-1.2255653053787834
200.0,-2.3960042643016304,-2.3843830816663227,-2.8996028727107617,-3.3617950365798834,-2.1270739664788545
300.0,-3.2758145455740695,-3.2599260767258684,-3.9643340407755243,-4.596242687939026,-2.9081333212628127
400.0,-4.070549616834321,-4.0508064964951345,-4.926108662801037,-5.711322680810997,-3.6136664062876513
500.0,-4.802767156029719,-4.779472608892783,-5.8122256500423015,-6.738685330218178,-4.263698999562567
600.0,-5.486589745894407,-5.459978498814416,-6.639775907584976,-7.698145804792236,-4.87076854875441
700.0,-6.130268151990062,-6.1005349136736235,-7.418744369045897,-8.601280620955322,-5.442199743927905
800.0,-6.739702880457844,-6.707013740772887,-8.156271724787038,-9.456368683947382,-5.9832308115707535
900.0,-7.3195622072895885,-7.284060613870596,-8.858007441580316,-10.269959976709833,-6.498006054962592
1000.0,-7.873362050386281,-7.835174397841302,-9.52820642238972,-11.046987627085835,-6.989646761300983
