Transmit power (W),MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
0.1,-4.701053947470253,-4.678252733250416,-5.689134086255947,-6.59597316363967,-4.17340219951203
0.25,-4.802767156029719,-4.779472608892783,-5.8122256500423015,-6.738685330218178,-4.263698999562567
0.5,-4.963978950716892,-4.939902488565471,-6.0073213725142445,-6.964879005785544,-4.406816195419631
0.75,-5.111327595577653,-5.086536457939838,-6.185640151113261,-7.171621518860353,-4.537626257467085
1.0,-5.24688360215349,-5.221434986090781,-6.34968768305497,-7.361817970876295,-4.657967300629353
1.25,-5.371340670077191,-5.34528840804517,-6.500303471623236,-7.53644168062797,-4.768455162887793
1.5,-5.486127671856809,-5.459518665944273,-6.639216713585704,-7.6974974761438775,-4.870358338442764
1.75,-5.592393088541274,-5.565268670434567,-6.767817280821294,-7.84659677270713,-4.964696401498105
2.0,-5.691432858082862,-5.663828073865315,-6.887673495000073,-7.985557880009658,-5.0526198324271325
2.5,-5.8705088613515635,-5.84203551651808,-7.10438817337016,-8.236816539240278,-5.2115961373733
