"Users per active beam U_s,v(t)",MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
1.0,267.32488302054105,873.1033136902074,955.7192291054902,496.43887520773296,1008.51011827544
2.0,229.5279854320382,749.6557836329492,820.5906865706471,426.24769392612944,865.9175050225363
3.0,211.06602989399244,689.3576386367334,754.5869322054199,391.9626983137369,796.2679132864773
4.0,192.60407435594675,629.0594936405178,688.5831778401927,357.6777027013445,726.6183215504184
5.0,184.00945561992827,600.9888179386038,657.8563622140842,341.71696305773827,694.1942544001549
6.0,175.41483688390974,572.9181422366897,627.1295465879756,325.7562234141321,661.7701872498916
7.0,166.82021814789127,544.8474665347759,596.4027309618671,309.79548377052595,629.3461200996283
8.0,158.22559941187274,516.7767908328618,565.6759153357584,293.8347441269197,596.9220529493647
10.0,150.55281541447354,491.7168972020707,538.2447719112092,279.585908723565,567.9757004464278
12.0,142.88003141707432,466.6570035712795,510.81362848666,265.3370733202102,539.0293479434907
14.0,135.2072474196751,441.59710994048834,483.3824850621106,251.08823791685543,510.08299544055376
16.0,127.53446342227589,416.5372163096972,455.95134163756137,236.8394025135007,481.1366429376167
