Active Beam Capacity (v_max),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
3,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
4,4.043055555555556,4.0,6.891666666666667,6.923611111111111
5,5.045833333333333,5.0,7.8291666666666675,7.8125
6,6.047222222222222,6.0,8.702777777777778,8.694444444444445
7,7.047222222222222,7.0,9.577777777777778,9.527777777777779
8,8.047222222222222,8.0,10.390277777777778,10.375
9,9.047222222222222,9.0,11.216666666666667,11.125
10,10.047222222222222,10.0,11.952777777777778,11.833333333333334
11,11.047222222222222,11.0,12.716666666666667,12.590277777777779
12,12.047222222222222,12.0,13.494444444444445,13.322222222222223
13,13.047222222222222,13.0,14.28611111111111,14.034722222222221
14,14.047222222222222,14.0,14.984722222222224,14.784722222222221
15,15.047222222222224,15.0,15.681944444444444,15.454166666666667
