k_cap,A2_MCCRL_ee_mean,A2_MCCRL_ee_ci_lo,A2_MCCRL_ee_ci_hi,A2_MCCRL_ho_rate_mean,A2_MCCRL_ho_rate_ci_lo,A2_MCCRL_ho_rate_ci_hi,A2_MCCRL_min_cov_mean,A2_MCCRL_min_cov_ci_lo,A2_MCCRL_min_cov_ci_hi,A2_MCCRL_active_beams_mean,A2_MCCRL_active_beams_ci_lo,A2_MCCRL_active_beams_ci_hi,A2_MCCRL_r3_mean,A2_MCCRL_r3_ci_lo,A2_MCCRL_r3_ci_hi,A2_MCCRL_jw_mean,A2_MCCRL_jw_ci_lo,A2_MCCRL_jw_ci_hi,A1_Auction_Only_ee_mean,A1_Auction_Only_ee_ci_lo,A1_Auction_Only_ee_ci_hi,A1_Auction_Only_ho_rate_mean,A1_Auction_Only_ho_rate_ci_lo,A1_Auction_Only_ho_rate_ci_hi,A1_Auction_Only_min_cov_mean,A1_Auction_Only_min_cov_ci_lo,A1_Auction_Only_min_cov_ci_hi,A1_Auction_Only_active_beams_mean,A1_Auction_Only_active_beams_ci_lo,A1_Auction_Only_active_beams_ci_hi,A1_Auction_Only_r3_mean,A1_Auction_Only_r3_ci_lo,A1_Auction_Only_r3_ci_hi,A1_Auction_Only_jw_mean,A1_Auction_Only_jw_ci_lo,A1_Auction_Only_jw_ci_hi,A2_kc0_NoCoord_ee_mean,A2_kc0_NoCoord_ee_ci_lo,A2_kc0_NoCoord_ee_ci_hi,A2_kc0_NoCoord_ho_rate_mean,A2_kc0_NoCoord_ho_rate_ci_lo,A2_kc0_NoCoord_ho_rate_ci_hi,A2_kc0_NoCoord_min_cov_mean,A2_kc0_NoCoord_min_cov_ci_lo,A2_kc0_NoCoord_min_cov_ci_hi,A2_kc0_NoCoord_active_beams_mean,A2_kc0_NoCoord_active_beams_ci_lo,A2_kc0_NoCoord_active_beams_ci_hi,A2_kc0_NoCoord_r3_mean,A2_kc0_NoCoord_r3_ci_lo,A2_kc0_NoCoord_r3_ci_hi,A2_kc0_NoCoord_jw_mean,A2_kc0_NoCoord_jw_ci_lo,A2_kc0_NoCoord_jw_ci_hi,AF_ee_mean,AF_ee_ci_lo,AF_ee_ci_hi,AF_ho_rate_mean,AF_ho_rate_ci_lo,AF_ho_rate_ci_hi,AF_min_cov_mean,AF_min_cov_ci_lo,AF_min_cov_ci_hi,AF_active_beams_mean,AF_active_beams_ci_lo,AF_active_beams_ci_hi,AF_r3_mean,AF_r3_ci_lo,AF_r3_ci_hi,AF_jw_mean,AF_jw_ci_lo,AF_jw_ci_hi,B0_MODQN_ee_mean,B0_MODQN_ee_ci_lo,B0_MODQN_ee_ci_hi,B0_MODQN_ho_rate_mean,B0_MODQN_ho_rate_ci_lo,B0_MODQN_ho_rate_ci_hi,B0_MODQN_min_cov_mean,B0_MODQN_min_cov_ci_lo,B0_MODQN_min_cov_ci_hi,B0_MODQN_active_beams_mean,B0_MODQN_active_beams_ci_lo,B0_MODQN_active_beams_ci_hi,B0_MODQN_r3_mean,B0_MODQN_r3_ci_lo,B0_MODQN_r3_ci_hi,B0_MODQN_jw_mean,B0_MODQN_jw_ci_lo,B0_MODQN_jw_ci_hi
3,413.01985906029046,401.82501774183146,424.0915463329845,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-6680907.391939709,-7116766.412400869,-6251101.6241658125,0.000505257469175253,0.00047108587561547373,0.0005399493623130516,399.78262947706753,387.4286315798078,412.1815350357898,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7153121.394080121,-7549016.907570808,-6744761.109246475,0.0004716633285054272,0.00043487066710010347,0.0005071458948293566,117.35148161358072,108.99972131695496,125.88563038431863,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4252683.700502745,-4750204.814326041,-3785370.7692852174,-6.8741351435067155e-06,-3.574769919739114e-05,2.2995147971032355e-05,448.27927515100396,431.8551674010906,465.6453482808347,0.30739583333333337,0.2595395833333333,0.3544416666666666,0.9916666666666667,0.9812499999999998,1.0,5.479166666666667,5.1790625,5.770833333333333,-5452191.366877582,-6039452.025759832,-4848767.105735542,0.00048759252841219466,0.00040755714911338,0.0005693863195547675,106.1681326059016,98.09551195967117,114.1032248244065,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-3836705.9020020645,-4273353.815917442,-3390559.6571803303,-1.5653220082071613e-05,-4.176521901549211e-05,1.0709025867205234e-05
4,383.49347354330297,372.83253232652106,394.3888899060766,0.09849305555555554,0.09766666666666665,0.09970156249999998,0.7250000000000001,0.6486111111111111,0.7986111111111112,6.923611111111111,6.875,6.958333333333333,-7981430.540535735,-8187636.606681565,-7746302.967606986,0.0004031825354398547,0.00037851937999365743,0.00042971207502319356,367.88417480797017,357.2176507251854,377.56136021282845,0.0981111111111111,0.09705538194444444,0.09960434027777777,0.6388888888888888,0.5625,0.7152777777777778,6.891666666666667,6.834722222222222,6.947222222222222,-8319929.896016641,-8462296.090996025,-8167466.819957349,0.0003702611556548611,0.00034690777688404134,0.00039306775468722795,118.83022823268587,111.2832228081558,126.76895805770008,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,4.0,4.0,4.0,-5309356.48739961,-5678632.4415505845,-4919596.577129382,-3.841882974854602e-05,-5.0657842056681584e-05,-2.6023928779420673e-05,340.61543771013714,323.25349631038983,358.87880416290113,0.6006875,0.5561234374999999,0.6461484375,0.9895833333333334,0.9791666666666666,0.9979166666666667,6.96875,6.633333333333333,7.30421875,-7501580.270396219,-7923393.806383908,-7013779.558537101,2.8913569213372077e-05,-4.305204991274925e-05,0.00010574819676019836,104.46220125384727,98.06181302476158,111.23997070700759,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,4.043055555555556,4.0,4.107638888888889,-4673299.813748276,-5074147.801998012,-4290006.560045499,-4.6308367145759e-05,-5.6355740983581735e-05,-3.6693794305176885e-05
5,337.30398745547177,328.8554008983111,345.671692054889,0.09882638888888888,0.09821527777777776,0.09963888888888889,0.7250000000000001,0.6486111111111111,0.7986111111111112,7.8125,7.743055555555555,7.875,-8281037.236679132,-8418959.991453767,-8142231.992538024,0.0003009021090807875,0.0002832665522299894,0.00031962214577092233,338.34788384642394,328.9753402790117,347.4288592458841,0.09829166666666665,0.09763888888888889,0.0990140625,0.6458333333333334,0.5694444444444444,0.7222222222222222,7.8291666666666675,7.758333333333334,7.894444444444444,-8474776.908420201,-8582806.661014926,-8361317.180795994,0.0003068974517065307,0.0002868487981571166,0.000326686951387615,119.54753575426827,112.36821911647635,127.20212804400559,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,5.0,5.0,5.0,-5502752.560008304,-5878271.534407522,-5105480.746653997,-4.3310256548204335e-05,-5.2517748980203804e-05,-3.297339965431204e-05,277.7415301650412,267.6186815348251,288.5845365718501,0.7362291666666666,0.6987,0.7681942708333335,0.9958333333333332,0.9895833333333334,1.0,8.308333333333334,7.747812499999999,8.925052083333334,-7856999.198624323,-8114441.318002061,-7534476.447588644,-0.00018014041693768446,-0.00022906658654090533,-0.00012833058230232248,103.27152748918245,97.3726675144541,109.08961086709091,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,5.045833333333333,5.0,5.114583333333333,-4944216.109880451,-5307363.513049499,-4576178.314970634,-5.749579068366775e-05,-6.39441950237589e-05,-5.1443317453880825e-05
6,296.1451388697921,287.86982458559015,304.5090295771903,0.0990486111111111,0.09856944444444443,0.09967378472222221,0.7458333333333333,0.6721527777777777,0.8125,8.694444444444445,8.61111111111111,8.777777777777779,-8248696.730453272,-8393995.972329253,-8105945.461537884,0.00021979154683059523,0.00020371059769367926,0.00023669095953942365,302.05607517576414,292.24871556738674,311.9623091799026,0.09854166666666667,0.09795138888888888,0.09921545138888889,0.6472222222222223,0.5707986111111111,0.7222222222222222,8.702777777777778,8.618055555555555,8.786111111111111,-8316834.846862444,-8438627.797821207,-8202955.405710493,0.00024066657316385078,0.00022052808844711454,0.00026066722654591334,111.1671114990161,105.73314297513873,116.89279283318372,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,6.0,6.0,6.0,-5412366.010096894,-5810041.418116169,-5000771.485088488,-5.691052020358536e-05,-6.654195433025188e-05,-4.672792479234814e-05,227.78348106461624,216.28535392635249,239.61378625381255,0.8400833333333333,0.80964375,0.8681677083333333,0.9979166666666667,0.99375,1.0,9.810416666666667,9.033333333333333,10.627239583333333,-7412694.918873392,-7712373.696378582,-7068469.121150045,-0.0003151403529305503,-0.00035435151431469536,-0.00027267310872108977,95.45426145364677,91.0041632374113,99.90352470807588,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,6.047222222222222,6.0,6.118055555555555,-4583753.676950094,-5010752.305348607,-4159590.4131455296,-6.117516008820443e-05,-7.00727478918669e-05,-5.191337930650539e-05
7,258.9345426094338,251.40749905866377,266.5380719662946,0.09926388888888887,0.09885416666666666,0.09973628472222221,0.7805555555555556,0.7138888888888889,0.8430902777777776,9.527777777777779,9.430555555555555,9.631944444444445,-8244776.881163407,-8384648.701391853,-8102885.2844898105,0.00014575503761211786,0.000131265697924555,0.00016019788283901424,264.5718922935451,255.3978294598958,273.8568213169478,0.09901388888888889,0.09836805555555556,0.09986805555555554,0.6965277777777777,0.6201388888888889,0.7708333333333334,9.577777777777778,9.480555555555556,9.669444444444444,-8200331.231136663,-8332688.356073974,-8070010.19643521,0.00017045213175058963,0.0001508193024485755,0.00019048183205318836,105.99607058351711,101.41384508332585,110.85299491375848,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,7.0,7.0,7.0,-4828182.324747612,-5242093.758220644,-4401043.010969757,-4.8067598782591536e-05,-5.7131482357797766e-05,-3.8826434835054605e-05,197.57540254601466,189.11732731694565,205.7403195100593,0.8865833333333333,0.8659572916666667,0.9056723958333334,0.9958333333333332,0.9895833333333334,1.0,10.918750000000001,9.9790625,11.9209375,-7105397.656630036,-7417742.225885897,-6776468.836520197,-0.0003746634135694817,-0.00040705759861082904,-0.0003425480590137363,90.78651671227196,87.00341224911524,94.52134971630149,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,7.047222222222222,7.0,7.118055555555555,-4083685.5647787238,-4496527.440792142,-3647650.1847844603,-5.408194258366108e-05,-6.311612382149932e-05,-4.537465345366908e-05
8,230.36261633872877,223.6469182014344,237.41395616285817,0.09943055555555554,0.09904843749999999,0.09990277777777777,0.8083333333333333,0.7416666666666667,0.8680555555555556,10.375,10.256944444444445,10.48611111111111,-8177715.40240607,-8321357.133364517,-8029916.946794986,9.0961114453613e-05,7.813999404176088e-05,0.00010358897617599769,236.25972385722878,226.87962823647905,245.52288515266525,0.09947916666666666,0.09875694444444444,0.10063888888888887,0.7,0.6236111111111111,0.7736111111111111,10.390277777777778,10.277708333333335,10.50138888888889,-8063120.331249772,-8209222.814654916,-7912772.165630753,0.00011919448317925096,9.934322216357824e-05,0.00013828441956901204,102.26147049403617,97.97695638624232,106.74628431561655,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,8.0,8.0,8.0,-4224246.784084439,-4651939.8604421355,-3821378.5879483917,-3.574399066410726e-05,-4.618797240514288e-05,-2.5935726752291137e-05,176.3542183558909,168.50686730691478,184.51720061038617,0.9198541666666668,0.9045604166666666,0.9334588541666666,1.0,1.0,1.0,12.245833333333335,11.176718750000001,13.387864583333332,-6480524.524995297,-6829718.321949205,-6105937.150762567,-0.00041405321527921373,-0.0004451100081338892,-0.00038478820997446637,86.5789223162788,83.30720404390443,89.93884184338867,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,8.047222222222222,8.0,8.118055555555555,-3435625.897330997,-3876198.170098038,-3033664.7483636863,-4.125316567649133e-05,-5.129914470022052e-05,-3.167787657197142e-05
9,197.8747619640379,191.1753155223792,204.62418489986158,0.09949999999999999,0.09912499999999999,0.09995138888888888,0.8152777777777778,0.75,0.8777777777777778,11.125,11.006944444444445,11.23611111111111,-7954472.04545682,-8116665.421119137,-7789642.165636098,3.353563965444744e-05,2.2327928691993887e-05,4.4859385551693984e-05,208.34193668034146,199.70588598357503,217.05251409391633,0.09937499999999999,0.09880555555555554,0.10022916666666666,0.7215277777777778,0.6458333333333334,0.7909895833333334,11.216666666666667,11.083333333333334,11.343055555555557,-7877479.906910245,-8022449.609036697,-7724761.712760446,7.044086472777068e-05,5.1630461674329624e-05,8.953867061586875e-05,92.5526087616996,89.1995886881341,96.16032135399344,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,9.0,9.0,9.0,-2952582.7217455036,-3298550.4806527756,-2622369.231779761,-1.3438615935897659e-05,-2.184842560879647e-05,-5.515678204397261e-06,174.73658349362117,166.8451061966675,183.4947518941082,0.9352083333333333,0.9213526041666666,0.9464390625,0.9979166666666667,0.99375,1.0,13.733333333333334,12.501979166666665,15.023020833333334,-6106343.496183439,-6464662.077724071,-5739065.244064102,-0.0004172489703047199,-0.00044757301575995166,-0.000388506539792284,78.51351500195433,76.17817597625005,81.05461866783155,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,9.047222222222222,9.0,9.118055555555555,-2279588.459900755,-2611832.547270912,-1967254.439590841,-1.9473863090013028e-05,-2.7950293774105453e-05,-1.1908391631466445e-05
10,168.09282852187297,162.028424575814,174.12091281318067,0.09959027777777776,0.09929166666666665,0.09989600694444443,0.8222222222222223,0.7569444444444444,0.8819444444444444,11.833333333333334,11.708333333333334,11.958333333333334,-7388494.403342211,-7622783.639461424,-7128691.176130181,-7.37137790937305e-06,-1.7325988079191723e-05,3.3547545326510218e-06,179.37208746095834,171.17270217155405,187.8227521671319,0.09956944444444443,0.09911805555555556,0.10019444444444442,0.7562500000000001,0.6805555555555556,0.8256944444444445,11.952777777777778,11.819444444444445,12.075034722222222,-7452882.205996039,-7663059.0795861175,-7247385.722258525,2.7264945285857926e-05,9.255360646448034e-06,4.5226744370347435e-05,87.65639349089068,84.76777839089401,90.72902806582864,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,10.0,10.0,10.0,-2179773.124778249,-2420295.0644674413,-1950653.685903777,2.099254813763038e-06,-4.182295191095455e-06,7.706474653551346e-06,175.8183521610862,168.20776040268314,182.91971677812302,0.9515833333333333,0.9390828124999998,0.9619796875,1.0,1.0,1.0,15.033333333333331,13.776197916666666,16.381562499999998,-5700988.138676222,-6094728.296513691,-5293289.993498889,-0.00041526302020446145,-0.00044558112606848585,-0.000385155740109856,74.3548683135824,72.44217038207324,76.41023948730547,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,10.047222222222222,10.0,10.118055555555555,-1624448.675722745,-1857879.560041088,-1408253.9920679703,-6.317505255332878e-06,-1.2072098618025549e-05,-1.0968742889695763e-06
11,148.47771584887425,142.95094182339759,154.16614331657672,0.09974305555555554,0.09947916666666666,0.10002795138888888,0.8291666666666667,0.7638888888888888,0.8888888888888888,12.590277777777779,12.465277777777779,12.715277777777779,-7063058.282971177,-7345065.460601832,-6764754.420158687,-3.5954478012058845e-05,-4.508199324620397e-05,-2.611378378015275e-05,159.34303017875087,151.5928002269859,167.10694645247315,0.0997986111111111,0.09940277777777777,0.10036822916666667,0.7631944444444445,0.6875,0.8319444444444444,12.716666666666667,12.584722222222222,12.840277777777779,-7197111.826894309,-7428371.309438779,-6961629.449968837,-3.831999313328095e-06,-2.1938965189037786e-05,1.4135382551602932e-05,84.74742775880837,82.17549477463588,87.49549267938909,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,11.0,11.0,11.0,-1898989.2141853115,-2105586.7669369765,-1707552.8203645728,5.51320491420368e-06,6.323774461509819e-07,9.87397449642574e-06,177.92001038935146,169.44181149415965,187.4048263149773,0.9579374999999999,0.9361458333333333,0.9710218749999999,1.0,1.0,1.0,16.27916666666667,14.981041666666668,17.65015625,-5835674.520838481,-6144582.042044251,-5538629.410600415,-0.000424329993005129,-0.0004622318657632321,-0.0003868374566836369,72.31820076887229,70.4370296978703,74.36396036745438,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,11.047222222222222,11.0,11.118055555555555,-1420753.0443573277,-1633902.0262131065,-1235482.2827095878,-3.6954085416888375e-06,-8.458502598989099e-06,3.850048310004439e-07
12,130.19808195881086,125.3116711729371,134.97277658655258,0.09985416666666665,0.09966666666666665,0.10005555555555555,0.8291666666666667,0.7638888888888888,0.8888888888888888,13.322222222222223,13.204166666666667,13.4375,-6649809.39406109,-6952491.647661678,-6330602.145576542,-5.888027898530843e-05,-6.787365092199329e-05,-4.919137584960672e-05,142.81614942128283,135.49912410709362,149.95207582158267,0.09983333333333333,0.09946527777777775,0.10038888888888889,0.7840277777777778,0.7138888888888889,0.8472222222222222,13.494444444444445,13.369444444444445,13.606944444444444,-6925565.938459541,-7180832.501664805,-6653937.537467409,-2.7401743578085336e-05,-4.4896074019114614e-05,-9.743432376727498e-06,82.07238325874921,79.72471903334959,84.61707483247524,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,12.0,12.0,12.0,-1566846.9542128958,-1689518.9393642084,-1451445.5675528818,1.1064181603392791e-05,8.0494839014572e-06,1.4017919105107767e-05,181.48442791672517,172.8272315092536,191.41965716505518,0.949375,0.9183708333333334,0.972375,1.0,1.0,1.0,17.55,16.193593749999998,18.977083333333333,-6029235.851440139,-6350214.827467845,-5725443.32329899,-0.0004286515518122024,-0.00047287926659132486,-0.00038574515957677297,70.07796456176031,68.38862785212824,72.00088194409507,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,12.047222222222222,12.0,12.118055555555555,-1188894.4096321082,-1340913.0731923443,-1062183.4201974391,-5.567157751228617e-07,-3.651134115853876e-06,2.148601785590887e-06
