Active Beam Capacity (v_max),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
3,-1.5653220082071613e-05,-6.8741351435067155e-06,0.0004716633285054272,0.00048759252841219466,0.000505257469175253
4,-4.6308367145759e-05,-3.841882974854602e-05,0.0003702611556548611,2.8913569213372077e-05,0.0004031825354398547
5,-5.749579068366775e-05,-4.3310256548204335e-05,0.0003068974517065307,-0.00018014041693768446,0.0003009021090807875
6,-6.117516008820443e-05,-5.691052020358536e-05,0.00024066657316385078,-0.0003151403529305503,0.00021979154683059523
7,-5.408194258366108e-05,-4.8067598782591536e-05,0.00017045213175058963,-0.0003746634135694817,0.00014575503761211786
8,-4.125316567649133e-05,-3.574399066410726e-05,0.00011919448317925096,-0.00041405321527921373,9.0961114453613e-05
9,-1.9473863090013028e-05,-1.3438615935897659e-05,7.044086472777068e-05,-0.0004172489703047199,3.353563965444744e-05
10,-6.317505255332878e-06,2.099254813763038e-06,2.7264945285857926e-05,-0.00041526302020446145,-7.37137790937305e-06
11,-3.6954085416888375e-06,5.51320491420368e-06,-3.831999313328095e-06,-0.000424329993005129,-3.5954478012058845e-05
12,-5.567157751228617e-07,1.1064181603392791e-05,-2.7401743578085336e-05,-0.0004286515518122024,-5.888027898530843e-05
13,1.7107573578692983e-07,1.0586004687777117e-05,-4.105721036299523e-05,-0.0004243498641902114,-6.883135108440863e-05
14,2.9345060840156825e-06,1.5393555751444464e-05,-4.283729405630237e-05,-0.00043715737089261906,-6.718763412933574e-05
15,2.5830293218539837e-06,1.4443099985432455e-05,-2.3959574196134886e-05,-0.00042017310616632685,-4.47760062625271e-05
