num_users,A2_MCCRL_ee_mean,A2_MCCRL_ee_ci_lo,A2_MCCRL_ee_ci_hi,A2_MCCRL_ho_rate_mean,A2_MCCRL_ho_rate_ci_lo,A2_MCCRL_ho_rate_ci_hi,A2_MCCRL_min_cov_mean,A2_MCCRL_min_cov_ci_lo,A2_MCCRL_min_cov_ci_hi,A2_MCCRL_active_beams_mean,A2_MCCRL_active_beams_ci_lo,A2_MCCRL_active_beams_ci_hi,A2_MCCRL_r3_mean,A2_MCCRL_r3_ci_lo,A2_MCCRL_r3_ci_hi,A2_MCCRL_jw_mean,A2_MCCRL_jw_ci_lo,A2_MCCRL_jw_ci_hi,A1_Auction_Only_ee_mean,A1_Auction_Only_ee_ci_lo,A1_Auction_Only_ee_ci_hi,A1_Auction_Only_ho_rate_mean,A1_Auction_Only_ho_rate_ci_lo,A1_Auction_Only_ho_rate_ci_hi,A1_Auction_Only_min_cov_mean,A1_Auction_Only_min_cov_ci_lo,A1_Auction_Only_min_cov_ci_hi,A1_Auction_Only_active_beams_mean,A1_Auction_Only_active_beams_ci_lo,A1_Auction_Only_active_beams_ci_hi,A1_Auction_Only_r3_mean,A1_Auction_Only_r3_ci_lo,A1_Auction_Only_r3_ci_hi,A1_Auction_Only_jw_mean,A1_Auction_Only_jw_ci_lo,A1_Auction_Only_jw_ci_hi,A2_kc0_NoCoord_ee_mean,A2_kc0_NoCoord_ee_ci_lo,A2_kc0_NoCoord_ee_ci_hi,A2_kc0_NoCoord_ho_rate_mean,A2_kc0_NoCoord_ho_rate_ci_lo,A2_kc0_NoCoord_ho_rate_ci_hi,A2_kc0_NoCoord_min_cov_mean,A2_kc0_NoCoord_min_cov_ci_lo,A2_kc0_NoCoord_min_cov_ci_hi,A2_kc0_NoCoord_active_beams_mean,A2_kc0_NoCoord_active_beams_ci_lo,A2_kc0_NoCoord_active_beams_ci_hi,A2_kc0_NoCoord_r3_mean,A2_kc0_NoCoord_r3_ci_lo,A2_kc0_NoCoord_r3_ci_hi,A2_kc0_NoCoord_jw_mean,A2_kc0_NoCoord_jw_ci_lo,A2_kc0_NoCoord_jw_ci_hi,AF_ee_mean,AF_ee_ci_lo,AF_ee_ci_hi,AF_ho_rate_mean,AF_ho_rate_ci_lo,AF_ho_rate_ci_hi,AF_min_cov_mean,AF_min_cov_ci_lo,AF_min_cov_ci_hi,AF_active_beams_mean,AF_active_beams_ci_lo,AF_active_beams_ci_hi,AF_r3_mean,AF_r3_ci_lo,AF_r3_ci_hi,AF_jw_mean,AF_jw_ci_lo,AF_jw_ci_hi,B0_MODQN_ee_mean,B0_MODQN_ee_ci_lo,B0_MODQN_ee_ci_hi,B0_MODQN_ho_rate_mean,B0_MODQN_ho_rate_ci_lo,B0_MODQN_ho_rate_ci_hi,B0_MODQN_min_cov_mean,B0_MODQN_min_cov_ci_lo,B0_MODQN_min_cov_ci_hi,B0_MODQN_active_beams_mean,B0_MODQN_active_beams_ci_lo,B0_MODQN_active_beams_ci_hi,B0_MODQN_r3_mean,B0_MODQN_r3_ci_lo,B0_MODQN_r3_ci_hi,B0_MODQN_jw_mean,B0_MODQN_jw_ci_lo,B0_MODQN_jw_ci_hi
40,540.3056408271121,532.8575583010495,548.0626148810375,0.0984625,0.09800833333333332,0.09898343750000001,0.7831666666666667,0.7496666666666666,0.815,5.896,5.871658333333333,5.92,-15105303.232227288,-15552219.11229282,-14650091.695919348,0.00048147953000223507,0.00045369938123772667,0.0005103738016247626,539.8831266216151,531.4339422542931,547.5996173933901,0.09882916666666666,0.09807083333333333,0.099725,0.6751666666666666,0.6371625,0.7108333333333333,5.933000000000001,5.910166666666666,5.955670833333333,-15120226.399023699,-15620282.72395243,-14649526.074639479,0.0004874986573255812,0.00045615445162006856,0.0005158952235433916,179.69481263111564,174.18732901223834,185.0635431725775,0.1,0.1,0.1,0.0,0.0,0.0,3.0,3.0,3.0,-9341717.426435146,-9852134.320082294,-8824707.422113579,-4.975353722756949e-05,-7.498268514699117e-05,-2.408912034325802e-05,565.3009902766688,551.1377439318283,578.717665902689,0.41151250000000006,0.3819962499999999,0.442405,0.975,0.9599875,0.9875,5.409,5.277,5.550525,-13625868.455439258,-14171955.419122908,-13050813.02521552,0.0003847760647981146,0.0003203279625211585,0.00044483191876918874,162.2226802825443,157.31419415331635,166.89933438770544,0.100475,0.10027083333333332,0.100725,0.0,0.0,0.0,3.0436666666666663,3.023166666666667,3.0683375,-8422445.040071545,-8892012.570215806,-7957399.913231167,-5.474602789933344e-05,-7.718307017580674e-05,-3.211298759572678e-05
60,488.5198209115409,481.0405370553114,495.34120452286817,0.09863888888888889,0.09815270833333332,0.09919173611111111,0.7466666666666667,0.7114916666666666,0.7806666666666666,5.93,5.91,5.949341666666667,-10011179.212321341,-10336980.39991031,-9674382.863881703,0.0005454305287317525,0.0005207076257799737,0.0005687418742527251,482.56319187834976,475.7925705189875,489.2933363082316,0.09854722222222222,0.09789993055555554,0.09933055555555555,0.5970000000000001,0.5575,0.6378333333333334,5.953833333333334,5.930666666666666,5.976000000000001,-10559625.387386952,-10879638.17799032,-10224689.248310555,0.0005233026980565847,0.0005008617197433251,0.0005464445284021478,154.7541073167433,150.0337253704096,159.60318955026247,0.1,0.1,0.1,0.0,0.0,0.0,3.0,3.0,3.0,-6273212.993836635,-6623775.580984472,-5891642.0513805235,1.0805779677088568e-06,-1.755072378190407e-05,2.051685554872984e-05,498.7520537697601,487.0005873505548,510.9484088900717,0.39894166666666664,0.3681133333333333,0.4278745833333333,0.978,0.9640000000000001,0.9880000000000001,5.5115,5.3885000000000005,5.6490125,-9380267.597269932,-9800999.341647541,-8952426.361838356,0.00039887346902944874,0.0003452311153488828,0.00045585467296383906,140.03422790308758,135.6296080734258,144.630871754135,0.10050555555555554,0.10029166666666667,0.10076388888888888,0.0,0.0,0.0,3.0523333333333333,3.0315000000000003,3.0771666666666664,-5737867.53683636,-6052155.434212871,-5380714.566378754,-1.1029974793650314e-05,-2.7808237723917834e-05,6.918978225076654e-06
80,446.9619023921892,440.9872489996368,453.2284852935788,0.09851041666666667,0.09802697916666667,0.09904588541666665,0.6869999999999999,0.65,0.723,5.943333333333333,5.925,5.961666666666667,-7905464.1408493,-8158820.679709886,-7655384.114401163,0.0005321447742448644,0.0005129945681651622,0.0005519957068418809,442.4428722728295,435.93967357544307,448.6550355989199,0.09869791666666666,0.09797911458333335,0.0995834375,0.6116666666666667,0.5735,0.6495041666666668,5.98,5.961666666666667,5.9991666666666665,-8217558.840192776,-8480863.581708001,-7962292.998769194,0.0005202926458364362,0.0004998445531210344,0.0005391322753301183,135.6247536445903,131.51024986293535,139.5870053455412,0.1,0.1,0.1,0.0,0.0,0.0,3.0,3.0,3.0,-5299175.088321721,-5586766.8226556955,-5017142.299091656,-4.923585649209562e-06,-2.0916279757400088e-05,1.0725539970499679e-05,463.70935856125595,453.3235814062165,473.6453114867314,0.36203125,0.33558453125000004,0.389933125,0.983,0.972,0.9915125,5.5325,5.397962499999999,5.6739999999999995,-7201760.9343980495,-7525221.596658495,-6894367.2033901885,0.0004269204585633786,0.00037938363407243676,0.000472380820973236,122.35716295411191,118.6393864093534,126.14618606382011,0.10047916666666666,0.10028958333333333,0.10070630208333332,0.0,0.0,0.0,3.057,3.0338291666666666,3.0845,-4793668.421358058,-5051282.65918235,-4539772.984290521,-1.511325688717237e-05,-2.953533637979458e-05,-6.524250840707593e-07
100,412.7263576367102,406.9257454005439,418.6601589354126,0.09819166666666665,0.09773499999999999,0.09870999999999999,0.7285,0.6945,0.7633333333333333,5.958333333333333,5.941666666666666,5.973333333333334,-6641617.575358066,-6851234.492904918,-6427781.114678701,0.0005061034098906799,0.0004884853167294739,0.0005242054136154046,409.70656320554474,403.749030259494,415.56657675923975,0.09859333333333332,0.09787495833333332,0.09940520833333333,0.6331666666666667,0.5949916666666667,0.6700041666666667,5.979833333333334,5.9601625,5.999504166666666,-6902645.485041961,-7100730.988836809,-6696557.4347722195,0.0004986983628065445,0.00048103818895604546,0.0005161999923046257,116.16950932869821,112.35402039060966,120.25825936282632,0.1,0.1,0.1,0.0,0.0,0.0,3.0,3.0,3.0,-4296707.609916591,-4527695.138923381,-4059141.3097045464,-1.0644000767090798e-05,-2.3659835878541982e-05,3.153569247260053e-06,431.7511805700386,422.1366952003746,441.16092464860486,0.359275,0.33145275,0.38629,0.9790000000000001,0.965,0.9904999999999999,5.623499999999999,5.4765,5.7685125,-5860621.659393272,-6116678.782896041,-5578574.34123923,0.0004058717092267582,0.00036097378872418324,0.00045219775548014767,105.60053908981811,101.91723826623372,109.24650639047177,0.10045333333333333,0.10027329166666667,0.10066666666666665,0.0,0.0,0.0,3.059,3.035,3.0871666666666666,-3871416.771422763,-4081265.448513669,-3651409.7246131855,-1.80953965922571e-05,-3.016482354943472e-05,-5.523501166029329e-06
120,398.27940872967525,392.7984324279856,403.4703399077751,0.0988972222222222,0.09825684027777777,0.09961822916666667,0.7158333333333333,0.6783291666666666,0.7508375,5.95,5.930991666666666,5.966008333333334,-5407698.580833879,-5602184.458876955,-5223065.896385947,0.0005172322807901176,0.0005006823038196219,0.0005329442684950587,390.7192638650077,385.1357806321606,395.97880211991617,0.09849444444444444,0.09776930555555555,0.09935836805555555,0.6243333333333334,0.5864958333333332,0.6610041666666667,5.976,5.953829166666667,5.9990000000000006,-5722770.297722038,-5908110.636580194,-5550440.415444465,0.00049936743119149,0.0004826676258370606,0.0005143967405073255,118.57654626594545,115.15530825169361,121.97187265802023,0.1,0.1,0.1,0.0,0.0,0.0,3.0,3.0,3.0,-3645072.1381989066,-3841601.6321316394,-3452603.5562286642,1.5362930297353668e-05,2.630797563835592e-06,2.7777017546571735e-05,404.8002743258952,396.33478653862494,413.45263342682574,0.3689833333333333,0.3417770833333333,0.39586385416666664,0.9790000000000001,0.9675,0.9884999999999999,5.7139999999999995,5.5554875,5.8670125,-4941185.780000483,-5162928.192814105,-4689057.592726032,0.00037409046945368387,0.00033211344839133473,0.00041623779309637933,107.95788170188477,104.77910978624587,110.99187663786108,0.10047222222222221,0.10029027777777777,0.10068059027777777,0.0,0.0,0.0,3.06,3.0366666666666666,3.0881666666666665,-3344460.839921618,-3515748.0350094396,-3170186.6949487505,3.727959705237418e-06,-7.516056988110669e-06,1.5208237277833203e-05
140,376.1321014447444,370.8715324994342,381.36181933645,0.09897619047619048,0.0981820238095238,0.09986806547619047,0.7335,0.6958208333333333,0.7666666666666666,5.965,5.95,5.9783333333333335,-4867902.5776684685,-5034119.041460213,-4711252.1364279,0.0004908961015242249,0.00047499095753854884,0.0005054697077417258,371.3459317778961,366.52438188320144,376.22885349336616,0.09896547619047619,0.0981820238095238,0.09989410714285712,0.6368333333333333,0.5966666666666667,0.6746708333333333,5.965833333333333,5.9441625,5.988,-5040531.504480728,-5197074.280817515,-4882871.667552291,0.0004834024614376281,0.000468915474471396,0.0004976196446967349,102.9247140477878,100.01423599791879,105.98524653400922,0.1,0.1,0.1,0.0,0.0,0.0,3.0,3.0,3.0,-3494391.085884569,-3657526.7223946773,-3328718.431879319,-1.062917684902801e-05,-2.0943067478247774e-05,-2.2665757537101777e-08,374.3049473561748,365.0447328469553,383.25281013163294,0.38388928571428566,0.35695080357142855,0.4102923214285714,0.98,0.9695,0.9884999999999999,5.807,5.6434625,5.979,-4506309.373949776,-4708072.687399413,-4300150.966490331,0.0003186150359863489,0.00027788762082344576,0.0003595197445103832,94.05011966202716,91.27998169337305,96.98078351656882,0.10046666666666666,0.10027735119047618,0.10069166666666665,0.0,0.0,0.0,3.0629999999999997,3.0383333333333336,3.092166666666666,-3176426.7505279016,-3319773.885841423,-3025155.5256624343,-1.8248693804745672e-05,-2.7730944245796323e-05,-8.638343487180255e-06
160,361.3924860817806,356.50265982912043,366.25359047747804,0.09827708333333333,0.09773434895833331,0.09890325520833335,0.755,0.7203333333333333,0.7893333333333333,5.974333333333333,5.961166666666666,5.9865,-4254972.211244878,-4401220.8496402865,-4112675.4324978325,0.0004825127568314867,0.00046836867253547716,0.0004966122758186213,353.3108975343531,348.75791111339356,358.06512750344103,0.09880625,0.09810518229166666,0.09955007812500001,0.6723333333333333,0.6343208333333333,0.7093333333333334,5.981333333333334,5.960666666666667,6.002333333333333,-4492535.553867629,-4627609.651941387,-4342334.57391028,0.00046522693101010517,0.00045183759788924003,0.00047927078814095957,97.72095916111014,94.74661904838086,100.88462549417649,0.1,0.1,0.1,0.0,0.0,0.0,3.0,3.0,3.0,-3012239.420069007,-3163441.7685423032,-2858076.5951424725,-5.178754209712983e-06,-1.5219033503530262e-05,5.1481775967433304e-06,368.7452593921672,361.1106520872018,376.2519257972166,0.344134375,0.3188365624999999,0.3687410937499999,0.976,0.9645,0.9865,5.708499999999999,5.554450000000001,5.848012499999999,-3748089.5705223917,-3928207.677361058,-3563094.65082416,0.00035987854510361557,0.0003225674720450418,0.0003968720918243884,89.15824336516057,86.42194851554515,92.0897879435757,0.10049791666666665,0.10030208333333333,0.10073440104166667,0.0,0.0,0.0,3.0633333333333335,3.038495833333333,3.093,-2758624.403772377,-2896982.766363194,-2620575.9543736065,-1.4312472453261171e-05,-2.3408231329823834e-05,-4.789836174158274e-06
180,349.3794115231806,344.65907836569374,354.299110675465,0.09831388888888888,0.09781199074074073,0.09893067129629629,0.7573333333333333,0.7214999999999999,0.790175,5.974833333333334,5.9616625,5.986666666666666,-3802827.3027295987,-3930748.0741202463,-3670717.7652167734,0.0004736008260253722,0.0004604831571269705,0.00048730905508502666,340.23873223077135,335.8669979866678,344.40272503024636,0.09869907407407408,0.09794719907407407,0.09960833333333333,0.6573333333333333,0.616,0.6943416666666666,5.988166666666666,5.968829166666667,6.006833333333333,-4118776.1193456906,-4241908.196838636,-4002206.17793264,0.00045163113700404025,0.0004394557162261388,0.00046356626184780716,92.6697064041192,90.07578887268099,95.32864188844087,0.1,0.1,0.1,0.0,0.0,0.0,3.0,3.0,3.0,-2838580.7785212533,-2965553.0975853624,-2703042.4029590925,-9.489075808482757e-06,-1.8171240209976926e-05,-3.808821074992608e-07,354.98929535494744,347.4171608604354,362.809220641514,0.3408388888888889,0.3148575,0.3659514583333333,0.9655,0.946,0.9815,5.698499999999999,5.5335,5.869012499999999,-3340181.597816955,-3510041.480453277,-3169890.6470453865,0.0003450746875025465,0.00030750484514612344,0.00038295740608072185,84.00677023239517,81.53351949359961,86.5003035180866,0.10052407407407406,0.10032032407407405,0.10077319444444445,0.0,0.0,0.0,3.062,3.0376666666666665,3.091666666666667,-2574579.7713384344,-2690388.822963646,-2454056.8220867864,-1.8508071288480798e-05,-2.653479810482364e-05,-1.0264971290771884e-05
200,333.0622951461106,328.17423155662595,337.86350676468993,0.09841833333333333,0.09787908333333332,0.09901502083333333,0.7736666666666666,0.7413291666666667,0.8065041666666667,5.964333333333333,5.949495833333333,5.9783333333333335,-3478695.198458322,-3595730.004459065,-3351279.015908042,0.00045143862395034833,0.00043842903511445204,0.0004647446530471285,325.6819512074608,320.9227587453868,330.32886350910275,0.09850416666666666,0.09780995833333332,0.09933089583333332,0.687,0.6505,0.7245125,5.976166666666666,5.953995833333333,5.996837500000001,-3698304.2520509046,-3814209.567223868,-3573127.169280133,0.00043670988336449795,0.00042386235480189186,0.00044986910309984456,90.80217757084816,87.95476700514773,93.55516822965755,0.1,0.1,0.1,0.0,0.0,0.0,3.0,3.0,3.0,-2329787.875004917,-2448853.168050737,-2203041.0013524443,3.4181338121732722e-06,-5.066732911741532e-06,1.2173402936067548e-05,345.0771753961359,337.74473550189396,352.33955782563874,0.3266125,0.301451375,0.3524935,0.9804999999999999,0.9685000000000001,0.99,5.619000000000001,5.4504624999999995,5.7970375,-2911955.095301429,-3083442.480943471,-2752266.1599955726,0.0003498572961910322,0.00031338841963166335,0.00038651671377726207,82.40780166560704,79.68611640336503,85.0164855412138,0.100475,0.10028166666666666,0.10070749999999999,0.0,0.0,0.0,3.0653333333333332,3.0401624999999997,3.0958375,-2156336.206633642,-2263115.6840172233,-2041668.3478758188,-7.974907647175789e-06,-1.5950407965772938e-05,2.768304855187225e-08
220,323.5271295999727,318.8317600351437,328.12582256552935,0.0982621212121212,0.09784619318181817,0.09872660984848484,0.7771666666666666,0.7434958333333334,0.8080083333333332,5.971333333333334,5.958333333333333,5.984333333333333,-3191684.4425095944,-3302030.077032854,-3085999.189163988,0.0004422298171856315,0.0004296152399636051,0.0004546529668445382,318.61176047315195,314.4840544867332,322.93099539320775,0.09871969696969697,0.09801666666666667,0.09945303030303031,0.6785,0.6413291666666666,0.7156708333333334,5.9783333333333335,5.956491666666666,6.001504166666667,-3371118.7637557643,-3473569.676152075,-3259104.014138816,0.00043324235691993856,0.000421968933487637,0.00044521463038404123,87.87928117913495,85.315957811965,90.4312838766514,0.1,0.1,0.1,0.0,0.0,0.0,3.0,3.0,3.0,-2274659.891542716,-2390046.5730001437,-2163238.006122783,-5.554710991259119e-07,-8.834959399220574e-06,7.683496063116214e-06,331.9741981353634,325.27964102967246,338.5696557218613,0.3191659090909091,0.2947092045454545,0.34411914772727276,0.9655000000000001,0.946,0.9815,5.5335,5.363975000000001,5.707999999999999,-2640174.711038259,-2792469.2429406266,-2486699.381420669,0.00033998770067597095,0.00030602239192540834,0.0003739219114346881,80.46484719640405,78.0035654759974,82.87766107887461,0.10044393939393939,0.10026513257575757,0.10065984848484848,0.0,0.0,0.0,3.0669999999999997,3.0416624999999997,3.0976666666666666,-2063134.4631546903,-2164021.1854135413,-1964536.9704704648,-8.740628031617945e-06,-1.6522929251496262e-05,-1.024227369166221e-06
