Base Transmit Power P_base (W),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
0.1,9.053532995115987e-06,2.0519081082876315e-05,0.0005345721458961757,0.0005706328914099552
0.25,-1.5653220082071613e-05,-6.8741351435067155e-06,0.0004716633285054272,0.000505257469175253
0.5,-4.876663004576971e-05,-4.339082749694977e-05,0.0003853178405016829,0.0004154222424716973
0.75,-7.489359924853643e-05,-7.205099957878696e-05,0.0003156358788946922,0.00034299480184326464
1.0,-9.620589054269498e-05,-9.531778356077476e-05,0.00025788778648358257,0.0002830221679930685
1.25,-0.00011403795264713124,-0.00011469211759774597,0.00020906871509892576,0.0002323753634260762
1.5,-0.0001292594548340977,-0.0001311569080228032,0.00016713241990081644,0.00018890539769070942
1.75,-0.00014246229378423126,-0.00014538159565846912,0.00013060688940919664,0.00015109901684102705
2.0,-0.00015406164293309477,-0.00015783953066998753,9.844998571410904e-05,0.00011783901098621588
2.5,-0.00017360736150411464,-0.00017874437886315577,4.426879771416399e-05,6.187504337381337e-05
