Base Transmit Power P_base (W),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
0.1,0.0,0.0,0.5972222222222222,0.975,0.6833333333333333
0.25,0.0,0.0,0.5972222222222222,0.9916666666666667,0.6833333333333333
0.5,0.0,0.0,0.5972222222222222,1.0,0.6833333333333333
0.75,0.0,0.0,0.5972222222222222,0.9979166666666667,0.6833333333333333
1.0,0.0,0.0,0.5972222222222222,0.9958333333333332,0.6833333333333333
1.25,0.0,0.0,0.5972222222222222,0.9979166666666667,0.6833333333333333
1.5,0.0,0.0,0.5972222222222222,1.0,0.6833333333333333
1.75,0.0,0.0,0.5972222222222222,1.0,0.6833333333333333
2.0,0.0,0.0,0.5972222222222222,1.0,0.6833333333333333
2.5,0.0,0.0,0.5972222222222222,1.0,0.6833333333333333
