Per-Beam Power Cap P_max (W),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
2.0,0.0,0.0,0.5972222222222222,0.9854166666666667,0.6833333333333333
4.0,0.0,0.0,0.5972222222222222,0.9916666666666667,0.6833333333333333
6.0,0.0,0.0,0.5972222222222222,0.9916666666666667,0.6833333333333333
8.0,0.0,0.0,0.5972222222222222,0.9916666666666667,0.6833333333333333
10.0,0.0,0.0,0.5972222222222222,0.9916666666666667,0.6833333333333333
15.0,0.0,0.0,0.5972222222222222,0.9916666666666667,0.6833333333333333
20.0,0.0,0.0,0.5972222222222222,0.9916666666666667,0.6833333333333333
30.0,0.0,0.0,0.5972222222222222,0.9916666666666667,0.6833333333333333
40.0,0.0,0.0,0.5972222222222222,0.9916666666666667,0.6833333333333333
50.0,0.0,0.0,0.5972222222222222,0.9916666666666667,0.6833333333333333
