Active-beam capacity limit v_max,MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
3.0,158.22559941187274,516.7767908328618,565.6759153357584,293.8347441269197,596.9220529493647
4.0,157.60201925141402,514.4665281149497,564.180865299682,285.00637872187536,593.9745310046552
5.0,153.97319681517754,511.9192244622138,563.2847953928066,266.36518478473147,591.0446477235548
6.0,144.36222576990465,511.2299885732473,563.3178600424584,246.06347876274458,590.2822096129906
7.0,137.74460262614227,511.2993280214884,563.3723064613074,232.4724751065223,590.2932975264367
8.0,130.8044983208981,511.7403525624982,563.4270064645704,220.30233743055305,590.7509068474873
10.0,120.6332510673662,512.1702841330793,563.8165014803001,207.79015690200723,591.2626711114364
12.0,113.98407549012467,512.4100881435972,564.5246047052834,200.3482286183685,591.4513008118109
14.0,109.8071433588925,512.9628179129598,564.503456096682,197.43370157649906,592.146965435313
16.0,107.27258685250888,513.406617302133,564.2440901688394,196.31043539080113,592.716184924615
