Transmit power (W),MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
0.1,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
0.25,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
0.5,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
0.75,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
1.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
1.25,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
1.5,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
1.75,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
2.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
2.5,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
