Number of users,MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
40.0,-0.09860978011223798,-0.10719067459475518,-0.08973467358517924,-0.09268027582993861,-0.08684478012991882
60.0,-0.09878643284345619,-0.10738269941629656,-0.08989542716515635,-0.09284630625650263,-0.08700035666182605
80.0,-0.09865776845260828,-0.10724283881792979,-0.0897783428647793,-0.09272537858361152,-0.08688704304606683
100.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
120.0,-0.09904515259153958,-0.1076639326194989,-0.09013086154213068,-0.09308946892847825,-0.08722820890540671
140.0,-0.09912423896614575,-0.1077499009872981,-0.09020282996151303,-0.09316379976061828,-0.08729785959123249
160.0,-0.09842408609950071,-0.10698882173116638,-0.08956569245977024,-0.09250574778311742,-0.08668124101960689
180.0,-0.09846094670877065,-0.10702888990259035,-0.08959923552960795,-0.09254039192724296,-0.0867137038392568
200.0,-0.09856554738111405,-0.10714259278904638,-0.08969442190137394,-0.09263870285698796,-0.0868058247463389
220.0,-0.09840910159796214,-0.10697253329784306,-0.0895520565977607,-0.09249166431457921,-0.08666804429875431
