Noise PSD (dBm/Hz),MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
-180.0,-6.593155748417414,-6.5611773966936875,-7.978922923124615,-9.250750760616127,-5.853132299614977
-178.0,-5.990149876606675,-5.96109624478887,-7.24917565839113,-8.404682922972798,-5.317808506300959
-176.0,-5.387144004795935,-5.361015092884052,-6.519428393657646,-7.558615085329472,-4.782484712986942
-174.0,-4.802767156029719,-4.779472608892783,-5.8122256500423015,-6.738685330218178,-4.263698999562567
-172.0,-4.218390307263505,-4.1979301249015135,-5.1050229064269566,-5.918755575106883,-3.744913286138191
-170.0,-3.662387684960423,-3.644624245720205,-4.432158160364144,-5.138637240664472,-3.2513170430866065
-168.0,-3.1063850626573406,-3.091318366538895,-3.75929341430133,-4.358518906222062,-2.757720800035021
-166.0,-2.606193437101871,-2.5935527876811872,-3.1539701701086726,-3.6567080834348467,-2.3136712627192395
-164.0,-2.106001811546401,-2.0957872088234786,-2.5486469259160147,-2.9548972606476327,-1.869621725403458
-162.0,-1.6986444372430523,-1.6904056133261822,-2.0556700851197047,-2.3833406822847096,-1.507986615298013
-160.0,-1.2912870629397035,-1.2850240178288856,-1.5626932443233956,-1.8117841039217868,-1.146351505192568
