Per-beam power cap P_max (W),MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
2.0,-4.7778456127352475,-4.75467194092833,-5.78206602987564,-6.703718313756841,-4.241574679194715
4.0,-4.802767156029719,-4.779472608892783,-5.8122256500423015,-6.738685330218178,-4.263698999562567
6.0,-4.802767156029719,-4.779472608892783,-5.8122256500423015,-6.738685330218178,-4.263698999562567
8.0,-4.802767156029719,-4.779472608892783,-5.8122256500423015,-6.738685330218178,-4.263698999562567
10.0,-4.802767156029719,-4.779472608892783,-5.8122256500423015,-6.738685330218178,-4.263698999562567
15.0,-4.802767156029719,-4.779472608892783,-5.8122256500423015,-6.738685330218178,-4.263698999562567
20.0,-4.802767156029719,-4.779472608892783,-5.8122256500423015,-6.738685330218178,-4.263698999562567
30.0,-4.802767156029719,-4.779472608892783,-5.8122256500423015,-6.738685330218178,-4.263698999562567
40.0,-4.802767156029719,-4.779472608892783,-5.8122256500423015,-6.738685330218178,-4.263698999562567
50.0,-4.802767156029719,-4.779472608892783,-5.8122256500423015,-6.738685330218178,-4.263698999562567
