Number of users,MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
40.0,-10.923130310118706,-10.870150566228245,-13.218983162138036,-15.326068407969053,-9.697105494042917
60.0,-7.239405486467238,-7.204292671944013,-8.761003165992642,-10.157493371276791,-6.426846217461539
80.0,-5.716695232455442,-5.688967919797206,-6.918245583035808,-8.021003111073432,-5.075046728597544
100.0,-4.802767156029719,-4.779472608892783,-5.8122256500423015,-6.738685330218178,-4.263698999562567
120.0,-3.9104806681582045,-3.891513919762307,-4.732395992782755,-5.486732514095756,-3.4715637820797407
140.0,-3.520136827137039,-3.503063337920459,-4.260008635367167,-4.939047350569151,-3.1250325865463764
160.0,-3.076907177222458,-3.0619834557620482,-3.7236197877715647,-4.317158959405464,-2.7315515466536375
180.0,-2.749946660188147,-2.7366087739199365,-3.327937831532634,-3.858405918060638,-2.4412894573026156
200.0,-2.5155563167295405,-2.5033552786004885,-3.0442826964586858,-3.5295365980007816,-2.2332073578702274
220.0,-2.3080096134667447,-2.2968152255260534,-2.793113269939381,-3.2383311576420373,-2.048955937321324
