Active-beam capacity limit,MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
3.0,-4.802767156029719,-4.779472608892783,-5.8122256500423015,-6.738685330218178,-4.263698999562567
4.0,-5.73768654606184,-5.709857420609359,-6.943648907287748,-8.050455685488549,-5.093681952816303
5.0,-5.953067648589936,-5.924193874275194,-7.20429938814159,-8.352653445417454,-5.284888430569612
6.0,-5.929818722658358,-5.9010577110871365,-7.176163940545344,-8.320033251469104,-5.264248991051725
7.0,-5.927000823483664,-5.898253479384343,-7.172753767757386,-8.316079502471153,-5.261747376148966
8.0,-5.878791703267585,-5.85027818470817,-7.114411925235604,-8.248438061479169,-5.21894930350515
9.0,-5.718306637443857,-5.690571509093492,-6.920195677450547,-8.023264047488563,-5.076477267620942
10.0,-5.31143693081169,-5.285675215964796,-6.427809003625707,-7.452391707789531,-4.715275088801605
11.0,-5.077487585519247,-5.052860579866974,-6.144687556896355,-7.124141145161886,-4.507584489389682
12.0,-4.780411443838603,-4.75722532714905,-5.785171154248342,-6.70731839009914,-4.243852518438845
13.0,-4.276273131077838,-4.25553220344464,-5.175071697538591,-5.999970033988062,-3.7962992746675717
14.0,-3.664846993107007,-3.647071625645477,-4.435134372499056,-5.142087856359857,-3.253500315634193
15.0,-2.6405795145607334,-2.6277720845995405,-3.1955836056381925,-3.7049546355178204,-2.3441978069586713
