bandwidth_hz,B0_MODQN_ee_mean,A1_Auction_Only_ee_mean,A2_MCCRL_ee_mean,AF_ee_mean
50000000.0,158184215240.63974,591007984073.0525,580671853591.7643,529184641279.7305
100000000.0,281776419724.51294,1064708527358.0491,1045816771245.9805,970346344506.055
150000000.0,392322681751.4199,1492480384872.5947,1465957541941.4636,1358927721223.5935
200000000.0,494406752829.35266,1890151302802.8604,1856650851562.3389,1752409797025.5715
300000000.0,681006844324.814,2622392916676.92,2576392273176.643,2431375339741.4683
400000000.0,850756887798.8652,3293531832217.4863,3236513834865.602,3099782037918.1187
500000000.0,1008023765659.319,3918973027404.705,3852095916748.0015,3725128215479.4966
600000000.0,1155383850625.0364,4507870249967.145,4432088364583.175,4343377591529.345
700000000.0,1294542472320.1086,5066319766444.141,4982445565451.183,4872485655550.718
800000000.0,1426713782008.8967,5598685583615.309,5507426210145.583,5412272943689.215
900000000.0,1552807149252.7744,6108252215102.511,6010233057831.393,5952116896905.544
1000000000.0,1673529591713.4788,6597584644314.408,6493365506355.156,6427287860073.112
