k_cap,B0_MODQN_ee_mean,A1_Auction_Only_ee_mean,A2_MCCRL_ee_mean,AF_ee_mean
3.0,1008023765659.319,3918973027404.705,3852095916748.0015,3725128215479.4966
4.0,1060801219660.8951,3078643404640.49,3655553758290.269,3142578659054.354
5.0,1035944772624.0474,2809849266407.5615,2711614338191.188,2279552202617.4634
6.0,1152907177573.5742,2208179776712.112,2657968179201.3774,1904606082486.0754
7.0,1081165441624.5273,2220258949231.216,2122801182140.6858,1715193185371.3333
8.0,1027565035625.1986,1715000634724.5967,1659729158128.9275,1620588052666.822
9.0,972623984344.9303,1763921179060.2598,1542193058963.344,1544293598657.7224
10.0,798999019249.0173,1642098045874.0273,1533452295020.083,1597172785944.0469
11.0,923933521884.6505,1292994756034.7996,1334628435712.1052,1637800764487.7766
12.0,789060749455.1018,1374479459416.1636,1568617163262.2253,1698806130202.912
13.0,764782226840.8328,1189200517942.899,1155515270032.2441,1661160959697.801
14.0,735119886096.7678,1131398849868.4404,1517551858578.102,1753759615385.0461
15.0,723725973048.5586,1003894469550.5444,966113413261.7933,1889941727971.6843
