noise_psd_dbm_hz,B0_MODQN_ee_mean,A1_Auction_Only_ee_mean,A2_MCCRL_ee_mean,AF_ee_mean
-184.0,1581842152406.3972,5910079840730.525,5806718535917.643,5291846412797.305
-180.0,1352032312940.9707,5128072068906.904,5036938725918.797,4663064625510.937
-176.0,1122489063286.0066,4326403167316.157,4250656772594.099,4021017500677.8228
-172.0,894036605060.6912,3507684930318.0996,3450441774175.3965,3390058238343.905
-168.0,669585844001.3427,2679756616050.4424,2643599295929.522,2706754196477.293
-164.0,457777985905.27026,1873693266900.9849,1858624159956.3428,2006597952819.538
-160.0,276418832178.6671,1160291749391.4124,1160879745003.5916,1335547260972.9324
-156.0,145095931286.05032,624729003896.9862,631502690083.8865,792808144094.0912
-152.0,67452027334.77914,296416361475.5824,302386174340.88043,406352158000.0747
-148.0,28944746466.587646,128818300161.98427,132217377138.40468,189981960411.12735
-144.0,11907958138.964964,53335640619.026245,54919841311.40934,82509693523.79283
-140.0,4805758987.983672,21586100271.80862,22259964495.00967,34143661120.631428
