num_users,B0_MODQN_ee_mean,A1_Auction_Only_ee_mean,A2_MCCRL_ee_mean,AF_ee_mean
50.0,1565781895525.878,4778416904563.094,4612174321311.989,4622342459198.222
60.0,1335422522155.3152,4374383329252.8706,4067935150698.8594,4421441861243.681
75.0,1312328469378.9038,3997982432892.3975,4021322651299.8394,3988113430267.513
90.0,1136831015820.0225,3849213671717.6787,3644084416649.392,3847702726201.246
100.0,1019310482894.8823,3918973027404.705,3852095916748.0015,3725128215479.4966
110.0,1221870362587.915,3804792393659.6855,3451548169767.578,3586144743620.4375
125.0,960866344404.7594,3450702069267.987,3491943586679.579,3402259303811.572
140.0,982651234431.3052,3416019605397.495,3536749585699.5605,3277901274649.905
150.0,977055464588.303,3210813056616.932,3325275996336.155,3271040755204.024
165.0,944129564238.4216,3260515620781.6743,3091429700417.33,3078349910917.813
185.0,858258531149.6432,3152426917184.5625,2891463694545.474,2950571378079.6
200.0,797615039585.3281,3090486009885.4404,2853324827341.9,2925751940167.224
