p_base_w,A2_MCCRL_ee_mean,A1_Auction_Only_ee_mean,AF_ee_mean,B0_MODQN_ee_mean
0.1,4224139882989.7515,4366886295371.1733,3870359485162.078,986029871059.9352
0.2,3964127962953.8105,4086654389685.943,3804377368331.44,927982481180.8784
0.3,3738414492280.045,3844650193370.8164,3484893781056.5547,877015903747.7347
0.4,3540152644606.4204,3633061918455.067,3426480842154.2305,831867192972.5981
0.5,3364303540826.252,3446164409786.207,3339204969114.332,791561919682.6852
0.7,3065427446487.7188,3130165904861.435,3117980812964.225,722578500081.4526
1.0,2713159742780.9067,2760357538601.357,2681570497084.956,640641192155.9252
1.3,2439818047275.9214,2475332713612.561,2282680527458.852,576699397720.2333
1.6,2220727216981.3506,2248065954891.5845,2129491710621.0337,525274114213.36426
2.0,1987577749029.0303,2007352364386.3665,1876501884118.9585,470419093599.42255
2.5,1761455479049.008,1774989499141.0166,1754848585105.9873,417122290941.27686
3.0,1584820707989.578,1594214949354.945,1551635218184.5571,375442947464.4239
