num_users,A2_MCCRL_ee_mean,A1_Auction_Only_ee_mean,AF_ee_mean,B0_MODQN_ee_mean
40.0,5191513336403.779,4819017650155.751,4863764586793.76,1448806972968.0244
50.0,4656458730672.6045,4779464377031.84,4634409004173.02,1703425004811.9485
60.0,4507053238817.001,4446903348023.638,4304756630662.4077,1456341644475.4602
70.0,4448465608126.469,4194671260234.236,4297001733846.591,1307350533882.9553
80.0,3991938005305.888,4172831830247.386,3902525817377.496,1087743932625.8252
90.0,3927537452658.672,4075174062890.4067,3756757360421.7754,1200071694172.613
100.0,3847463309126.15,3961421377019.4844,3631401947792.967,901700931178.3558
120.0,3587967414075.0728,3785598178307.987,3523607516540.5674,1134460578667.8079
140.0,3412451297626.1616,3574016558025.25,3349040822552.832,828832341905.6152
160.0,3348110390964.6665,3492842708869.3594,3222298275602.198,936562854916.2699
180.0,3348040749356.4478,3324701363547.8247,3124623143639.6465,825071874262.8165
200.0,3069906457974.8735,3263219877379.6196,2893983225486.651,678572025550.5707
