angle_deg,model,n_b,G_T_linear,p_rf_W,at_cap,acm_mode,bits_per_beam_step_bit,bits_per_user_step_bit,energy_per_step_J,ee_bit_per_J
0.000000000,a-r0,1,2000.000000000,0.317637545451,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.824443279,16149302.596229
0.000000000,a-r0,2,2000.000000000,0.509250930598,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.276439932,21103551.581688
0.000000000,a-r0,4,2000.000000000,1.380167610640,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.814036416,25178193.812209
0.000000000,b0,1,2000.000000000,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.002766667,a-r0,1,1999.996275008,0.317638137050,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.824546314,16149289.476222
0.002766667,a-r0,2,1999.996275008,0.509251879078,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.276570394,21103533.964147
0.002766667,a-r0,4,1999.996275008,1.380170181201,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.814251190,25178171.902432
0.002766667,b0,1,1999.996275008,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.005533333,a-r0,1,1999.985100070,0.317639911857,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.824855419,16149250.116241
0.005533333,a-r0,2,1999.985100070,0.509254724528,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.276961781,21103481.111582
0.005533333,a-r0,4,1999.985100070,1.380177892917,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.814895517,25178106.173184
0.005533333,b0,1,1999.985100070,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.008300000,a-r0,1,1999.966475299,0.317642869892,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.825370596,16149184.516409
0.008300000,a-r0,2,1999.966475299,0.509259466984,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.277614094,21103393.024174
0.008300000,a-r0,4,1999.966475299,1.380190745880,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.815969399,25177996.624715
0.008300000,b0,1,1999.966475299,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.011066667,a-r0,1,1999.940400884,0.317647011191,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.826091848,16149092.676930
