arm,checkpoint_sha256,training_seed,evaluation_seed,users,steps,duration_s,useful_bits,system_energy_j,system_ee_bits_per_j,mean_system_power_w,mean_system_throughput_bps,served_user_intervals,total_user_intervals,served_fraction,zero_power_intervals,zero_service_intervals,r1_sum,r2_sum,r3_sum
Baseline MODQN,d6c40e9d1c0b328be77b6c80d496a5b12df155889937ba6f13f0b12c2de4f818,2026082911,2026082914,60,10,300.8,5690963147181.657,75718.37161804593,75159608.23734002,251.72330990041866,18919425356.322,598,600,0.9966666666666667,0,0,745818997.5473514,-133.0,-1196.0
Baseline MODQN,d6c40e9d1c0b328be77b6c80d496a5b12df155889937ba6f13f0b12c2de4f818,2026082911,2026082915,60,10,300.8,6122690735481.765,76561.694012559,79970680.04369669,254.52690828643284,20354689945.08565,596,600,0.9933333333333333,0,0,783454943.0829725,-119.5,-1120.0
Baseline MODQN,d6c40e9d1c0b328be77b6c80d496a5b12df155889937ba6f13f0b12c2de4f818,2026082911,2026082916,60,10,300.8,6294679785223.106,78660.27022347687,80023622.69211227,261.50355792379275,20926462051.93852,600,600,1.0,0,0,770477255.8570522,-158.5,-1138.0
Baseline MODQN,d6c40e9d1c0b328be77b6c80d496a5b12df155889937ba6f13f0b12c2de4f818,2026082911,2026082917,60,10,300.8,6638560348181.921,88136.42366659114,75321417.32111514,293.00672761499715,22069682008.58351,600,600,1.0,0,0,735084253.9682688,-116.5,-946.0
Baseline MODQN,d6c40e9d1c0b328be77b6c80d496a5b12df155889937ba6f13f0b12c2de4f818,2026082911,2026082918,60,10,300.8,7623317026893.126,90863.69058132952,83898386.45250393,302.0734394326114,25343474158.554276,599,600,0.9983333333333333,0,0,821831215.6443477,-128.0,-885.0
Baseline MODQN,d6c40e9d1c0b328be77b6c80d496a5b12df155889937ba6f13f0b12c2de4f818,2026082911,2026082914,80,10,300.8,7493491589415.705,96388.18581436269,77742842.92317398,320.43944752115254,24911873635.025616,797,800,0.99625,0,0,769029056.9168601,-177.0,-1643.0
Baseline MODQN,d6c40e9d1c0b328be77b6c80d496a5b12df155889937ba6f13f0b12c2de4f818,2026082911,2026082915,80,10,300.8,6992289193016.146,86680.68635436115,80667210.7374741,288.16717538019,23245642264.016445,796,800,0.995,0,0,784858183.4939579,-160.5,-1908.0
Baseline MODQN,d6c40e9d1c0b328be77b6c80d496a5b12df155889937ba6f13f0b12c2de4f818,2026082911,2026082916,80,10,300.8,7543913079852.213,100578.7045500271,75005073.02815703,334.37069331790923,25079498270.785282,800,800,1.0,0,0,728022761.5006955,-201.0,-1578.0
Baseline MODQN,d6c40e9d1c0b328be77b6c80d496a5b12df155889937ba6f13f0b12c2de4f818,2026082911,2026082917,80,10,300.8,7696514382306.782,104519.59319974843,73637048.77417478,347.4720518608658,25586816430.541164,798,800,0.9975,0,0,721718617.738047,-164.0,-1516.0
Baseline MODQN,d6c40e9d1c0b328be77b6c80d496a5b12df155889937ba6f13f0b12c2de4f818,2026082911,2026082918,80,10,300.8,9046455132834.49,116728.48521082959,77499978.83117563,388.0601237062154,30074651372.455086,798,800,0.9975,0,0,760812310.8460376,-162.5,-1238.0
