arm,users,training_seed_count,mean_ee_bits_per_j,median_ee_bits_per_j,min_ee_bits_per_j,max_ee_bits_per_j
Baseline MODQN,60,1,78963203.15525617,78963203.15525617,78963203.15525617,78963203.15525617
Baseline MODQN,80,1,76793418.56783007,76793418.56783007,76793418.56783007,76793418.56783007
Baseline MODQN,100,1,72533709.04011758,72533709.04011758,72533709.04011758,72533709.04011758
Baseline MODQN,120,1,70287551.10831524,70287551.10831524,70287551.10831524,70287551.10831524
Baseline MODQN,140,1,68749544.77765392,68749544.77765392,68749544.77765392,68749544.77765392
Full - C1,60,1,66980602.31672309,66980602.31672309,66980602.31672309,66980602.31672309
Full - C1,80,1,64954387.39589527,64954387.39589527,64954387.39589527,64954387.39589527
Full - C1,100,1,62876934.370498836,62876934.370498836,62876934.370498836,62876934.370498836
Full - C1,120,1,58693718.73696989,58693718.73696989,58693718.73696989,58693718.73696989
Full - C1,140,1,57536984.339196436,57536984.339196436,57536984.339196436,57536984.339196436
Full - C2,60,1,78897720.1767145,78897720.1767145,78897720.1767145,78897720.1767145
Full - C2,80,1,73960450.79754521,73960450.79754521,73960450.79754521,73960450.79754521
Full - C2,100,1,70791620.59334248,70791620.59334248,70791620.59334248,70791620.59334248
Full - C2,120,1,67077367.55323621,67077367.55323621,67077367.55323621,67077367.55323621
Full - C2,140,1,65603365.626707934,65603365.626707934,65603365.626707934,65603365.626707934
Full - C3,60,1,75809562.38775353,75809562.38775353,75809562.38775353,75809562.38775353
Full - C3,80,1,71839161.71206798,71839161.71206798,71839161.71206798,71839161.71206798
Full - C3,100,1,69319532.3753462,69319532.3753462,69319532.3753462,69319532.3753462
Full - C3,120,1,66841604.64751348,66841604.64751348,66841604.64751348,66841604.64751348
Full - C3,140,1,65266467.20906379,65266467.20906379,65266467.20906379,65266467.20906379
Full Multi-Catfish MCRL,60,1,76367572.01151778,76367572.01151778,76367572.01151778,76367572.01151778
Full Multi-Catfish MCRL,80,1,73084728.48947023,73084728.48947023,73084728.48947023,73084728.48947023
Full Multi-Catfish MCRL,100,1,72015749.98358625,72015749.98358625,72015749.98358625,72015749.98358625
Full Multi-Catfish MCRL,120,1,68759531.53853111,68759531.53853111,68759531.53853111,68759531.53853111
Full Multi-Catfish MCRL,140,1,66920809.706606306,66920809.706606306,66920809.706606306,66920809.706606306
