arm,checkpoint_sha256,training_seed,evaluation_seed,users,steps,duration_s,useful_bits,system_energy_j,system_ee_bits_per_j,mean_system_power_w,mean_system_throughput_bps,served_user_intervals,total_user_intervals,served_fraction,zero_power_intervals,zero_service_intervals,r1_sum,r2_sum,r3_sum
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082904,60,10,300.8,7402352644150.201,78255.96030560411,94591550.79360901,260.1594425053328,24608885120.18019,600,600,1.0,0,0,921825703.9060237,-154.5,-1230.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082905,60,10,300.8,7585334656107.117,82474.00851735461,91972426.13120922,274.1822091667374,25217202979.07951,600,600,1.0,0,0,880947832.1055211,-166.0,-1022.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082906,60,10,300.8,8914394519710.762,80023.94756186861,111396585.5385828,266.03705971365895,29635620078.82567,598,600,0.9966666666666667,0,0,1091036938.790762,-182.0,-1046.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082907,60,10,300.8,7258882670200.343,77185.71321475055,94044381.63322091,256.6014402086122,24131923770.612843,600,600,1.0,0,0,917043149.5497494,-178.0,-1156.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082908,60,10,300.8,7482043483848.399,81783.11899148341,91486404.23737754,271.8853689876443,24873814773.43218,600,600,1.0,0,0,870281213.5014056,-162.0,-1086.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082904,80,10,300.8,9129610230446.123,96970.90964349355,94147928.11586967,322.37669429352906,30351097840.578865,800,800,1.0,0,0,907628551.2331297,-212.5,-1790.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082905,80,10,300.8,8763659161971.75,92015.61382661038,95241000.92931566,305.9029714980398,29134505192.72523,800,800,1.0,0,0,909815036.4495192,-220.0,-1752.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082906,80,10,300.8,11011982554190.521,101302.59669177163,108703852.75212769,336.7772496401982,36608984555.154655,798,800,0.9975,0,0,1070167555.0748758,-222.0,-1548.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082907,80,10,300.8,8441615949880.014,94306.99481466982,89512087.26849271,313.5205944636629,28063882812.10111,800,800,1.0,0,0,865503083.6353697,-231.5,-1820.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082908,80,10,300.8,8576539179456.799,97826.68394763173,87670754.37257962,325.22168865569057,28512430782.768612,800,800,1.0,0,0,829850735.9608893,-216.0,-1650.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082904,100,10,300.8,9679719190328.098,104790.02588168475,92372524.09172201,348.37109668113277,32179917521.037556,1000,1000,1.0,0,0,887373161.1789742,-261.0,-2794.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082905,100,10,300.8,9677266220333.887,102815.14275518346,94122966.33557904,341.80566075526417,32171762700.57808,999,1000,0.999,0,0,884660628.2335806,-284.0,-2595.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082906,100,10,300.8,12391382709832.822,116827.66846008958,106065479.8059754,388.3898552529574,41194756349.17826,998,1000,0.998,0,0,1033784251.2551091,-291.0,-2234.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082907,100,10,300.8,10035256892510.332,109577.57332767383,91581302.52165318,364.2871453712561,33361891264.994453,1000,1000,1.0,0,0,871817383.0387658,-304.0,-2594.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082908,100,10,300.8,9046186068544.43,103485.53988789089,87414976.80105303,344.0343746272968,30073756876.809937,1000,1000,1.0,0,0,818900972.0552437,-266.0,-2626.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082904,120,10,300.8,10708979683172.191,117089.53070827111,91459754.0736041,389.26040793973107,35601661180.75861,1200,1200,1.0,0,0,872744954.2848471,-331.5,-3460.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082905,120,10,300.8,10557102888029.998,112531.29053513196,93814821.08511053,374.1066839598802,35096751622.440155,1199,1200,0.9991666666666666,0,0,882634875.538544,-340.0,-3593.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082906,120,10,300.8,13495370961636.51,129500.28648770071,104211128.23498064,430.51956944049437,44864930058.63201,1198,1200,0.9983333333333333,0,0,1012496902.1611177,-354.0,-3058.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082907,120,10,300.8,10565069273747.201,121862.65411537053,86696530.20805682,405.12850437290734,35123235617.51064,1199,1200,0.9991666666666666,0,0,823358640.7003672,-354.0,-3283.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082908,120,10,300.8,9926504489656.797,114058.83437095671,87029685.55134055,379.18495469068057,33000347372.529243,1199,1200,0.9991666666666666,0,0,814904104.8665304,-328.0,-3473.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082904,140,10,300.8,11080699399832.055,124468.9924130379,89023773.59223624,413.79319286249296,36837431515.39912,1400,1400,1.0,0,0,846163987.3503432,-365.0,-4566.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082905,140,10,300.8,11001882868829.527,123637.33896993777,88985115.34209433,411.0283875330378,36575408473.50242,1400,1400,1.0,0,0,829475432.6971742,-390.5,-4442.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082906,140,10,300.8,14069203116010.912,137543.99877970445,102288745.71652281,457.2606342410387,46772616742.05755,1397,1400,0.9978571428571429,0,0,992771053.5264196,-405.0,-4047.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082907,140,10,300.8,11610862591436.217,131934.9430632172,88004453.72438462,438.6135075239933,38599942125.78529,1399,1400,0.9992857142857143,0,0,826500020.3030483,-422.5,-4223.0
Baseline MODQN,ba30fc69c2cd1daefe3b20ebf05169536cd78feb030e93df5f96d977186fbb2d,2026082901,2026082908,140,10,300.8,10757509819778.318,123039.4708219897,87431372.61490667,409.0407939560828,35762998071.07153,1399,1400,0.9992857142857143,0,0,813503177.3216904,-381.0,-4479.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082904,60,10,300.8,6517611830137.728,75336.00163626568,86513906.87822543,250.45213309928747,21667592520.40468,600,600,1.0,0,0,845083813.9885371,-163.0,-1272.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082905,60,10,300.8,6032398295606.732,77143.13342108286,78197475.62857105,256.45988504349356,20054515610.394722,600,600,1.0,0,0,757924160.5831391,-168.5,-1166.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082906,60,10,300.8,8066236860034.157,80265.57460519577,100494351.40419479,266.8403411076987,26815947008.092278,598,600,0.9966666666666667,0,0,991468728.2591264,-197.5,-1040.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082907,60,10,300.8,6938634094499.55,76456.49874520552,90752705.24253063,254.17718997741196,23067267601.39478,600,600,1.0,0,0,885550323.7649343,-189.0,-1140.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082908,60,10,300.8,5839975255326.44,75431.95081810979,77420445.7393454,250.77111309212032,19414811354.14375,600,600,1.0,0,0,747043051.8011138,-158.5,-1200.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082904,80,10,300.8,7977324415817.004,93930.27524405238,84928149.04555626,312.2682022741103,26520360424.92355,800,800,1.0,0,0,825273174.3485289,-224.0,-1836.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082905,80,10,300.8,7037703373409.726,86794.01921234108,81085118.96645808,288.54394684953814,23396620257.34616,800,800,1.0,0,0,782850643.5203073,-233.5,-1938.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082906,80,10,300.8,10022954021352.115,101714.02923300395,98540526.77818695,338.1450439926993,33320990762.473785,798,800,0.9975,0,0,974384563.8173151,-282.5,-1530.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082907,80,10,300.8,7755847692397.945,90196.17639044223,85988652.76532726,299.854309808651,25784068126.322956,799,800,0.99875,0,0,822097636.9748912,-267.5,-1883.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082908,80,10,300.8,7811631224938.476,101553.07534795481,76921660.89675978,337.60995793867954,25969518699.92844,800,800,1.0,0,0,755445986.3760016,-234.5,-1534.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082904,100,10,300.8,8400462244954.957,100408.97139110912,83662466.89485347,333.8064208481021,27927068633.493874,1000,1000,1.0,0,0,812459107.4378184,-301.5,-2954.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082905,100,10,300.8,7941590301821.924,97926.0160546177,81097859.60650687,325.55191507519186,26401563503.39735,999,1000,0.999,0,0,781571534.761762,-318.5,-2787.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082906,100,10,300.8,10771473743971.023,116199.8354757248,92697839.88826112,386.3026445336596,35809420691.39303,998,1000,0.998,0,0,910127208.6265047,-374.0,-2230.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082907,100,10,300.8,8900131049417.225,106141.51155180304,83851557.40950099,352.8640676589197,29588201627.05194,999,1000,0.999,0,0,807313703.4009328,-328.0,-2573.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082908,100,10,300.8,8506634871305.586,106052.78889233424,80211326.45499402,352.5691120090899,28280036141.308464,1000,1000,1.0,0,0,773290934.9182159,-299.0,-2534.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082904,120,10,300.8,8978668263557.54,110724.40872062875,81090234.45961061,368.09976303400515,29849296088.954582,1200,1200,1.0,0,0,789292222.7441764,-332.5,-3688.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082905,120,10,300.8,8644541984581.562,106878.6894507549,80881811.2292123,355.3147920570309,28738503938.103596,1199,1200,0.9991666666666666,0,0,773208181.2464037,-369.5,-3831.0
Full Multi-Catfish MCRL,25598e93d72fda0ca587d111886246c89012ea2d5484bc319def838b3cb9a067,2026082901,2026082906,120,10,300.8,11306774572006.594,121651.02967092977,92944339.25131427,404.42496566133565,37589011210.1283,1198,1200,0.9983333333333333,0,0,906397367.7793365,-448.0,-3282.0
