arm,users,training_seed_count,mean_ee_bits_per_j,median_ee_bits_per_j,min_ee_bits_per_j,max_ee_bits_per_j
Baseline MODQN,60,1,96674527.80764994,96674527.80764994,96674527.80764994,96674527.80764994
Baseline MODQN,80,1,95193276.88980769,95193276.88980769,95193276.88980769,95193276.88980769
Baseline MODQN,100,1,94567802.88669153,94567802.88669153,94567802.88669153,94567802.88669153
Baseline MODQN,120,1,92855583.19265771,92855583.19265771,92855583.19265771,92855583.19265771
Baseline MODQN,140,1,91348575.49541143,91348575.49541143,91348575.49541143,91348575.49541143
Full - C1,60,1,83817422.97687049,83817422.97687049,83817422.97687049,83817422.97687049
Full - C1,80,1,82509742.69667944,82509742.69667944,82509742.69667944,82509742.69667944
Full - C1,100,1,81676454.64579003,81676454.64579003,81676454.64579003,81676454.64579003
Full - C1,120,1,80287549.49989837,80287549.49989837,80287549.49989837,80287549.49989837
Full - C1,140,1,79474821.79633038,79474821.79633038,79474821.79633038,79474821.79633038
Full - C2,60,1,94580046.5016702,94580046.5016702,94580046.5016702,94580046.5016702
Full - C2,80,1,92887125.24510266,92887125.24510266,92887125.24510266,92887125.24510266
Full - C2,100,1,91602023.26027186,91602023.26027186,91602023.26027186,91602023.26027186
Full - C2,120,1,90006334.76449375,90006334.76449375,90006334.76449375,90006334.76449375
Full - C2,140,1,88053291.94796392,88053291.94796392,88053291.94796392,88053291.94796392
Full - C3,60,1,87771097.53546421,87771097.53546421,87771097.53546421,87771097.53546421
Full - C3,80,1,86527849.07255732,86527849.07255732,86527849.07255732,86527849.07255732
Full - C3,100,1,84107850.0501009,84107850.0501009,84107850.0501009,84107850.0501009
Full - C3,120,1,82377587.28660111,82377587.28660111,82377587.28660111,82377587.28660111
Full - C3,140,1,80890045.24067038,80890045.24067038,80890045.24067038,80890045.24067038
Full Multi-Catfish MCRL,60,1,86822614.0533944,86822614.0533944,86822614.0533944,86822614.0533944
Full Multi-Catfish MCRL,80,1,85631642.05912085,85631642.05912085,85631642.05912085,85631642.05912085
Full Multi-Catfish MCRL,100,1,84522177.02906537,84522177.02906537,84522177.02906537,84522177.02906537
Full Multi-Catfish MCRL,120,1,83114047.03904723,83114047.03904723,83114047.03904723,83114047.03904723
Full Multi-Catfish MCRL,140,1,83003708.59863664,83003708.59863664,83003708.59863664,83003708.59863664
